EID,TYPECODE,DJDATE,IFHOME,PROJECT_CNT,PROJECT_INHOME_CNT,PROJECT_OUTHOME_CNT,PROJECT_INHOME_RATE,PROJECT_OUTHOME_RATE,PROJECT_TYPECODE_CNT,PROJECT_FIRST_TYPECODE,PROJECT_END_TYPECODE,PROJECT_FIRST_TIME,PROJECT_END_TIME
272030,[4485484],['2014-08'],[0],1,0,1,0.0,1.0,1,4485484,4485484,2014-08,2014-08
91806,[5180859 4516944 4194318 5233854 5221826 4420804 4621389 5456352],"['2015-04' '2014-09' '2014-05' '2015-04' '2015-04' '2014-08' '2014-10'
 '2015-06']",[0 1 1 0 0 1 1 1],8,5,3,0.625,0.375,8,5180859,5456352,2015-04,2015-06
157345,[3233390 4425852 5774915 4516812 4392806],['2013-12' '2014-08' '2015-08' '2014-09' '2014-07'],[1 1 1 1 1],5,5,0,1.0,0.0,5,3233390,4392806,2013-12,2014-07
280227,[4370500 4020300 4490819 4686185 4706553],['2014-07' '2014-02' '2014-08' '2014-10' '2014-11'],[1 1 1 1 1],5,5,0,1.0,0.0,5,4370500,4706553,2014-07,2014-11
59047,[5645431],['2015-07'],[1],1,1,0,1.0,0.0,1,5645431,5645431,2015-07,2015-07
198313,[5171306],['2015-04'],[1],1,1,0,1.0,0.0,1,5171306,5171306,2015-04,2015-04
493227,[5440970 5412195],['2015-06' '2015-06'],[0 0],2,0,2,0.0,1.0,2,5440970,5412195,2015-06,2015-06
509614,[4863977 3117654 4810856 4810881 4820812 4352642 4813007 4867943],"['2014-12' '2013-11' '2014-12' '2014-12' '2014-12' '2014-07' '2014-12'
 '2014-12']",[0 0 0 0 0 0 0 0],8,0,8,0.0,1.0,8,4863977,4867943,2014-12,2014-12
296622,"[3233892 4853372 4919230 4096665 4719057 4709547 5247944 4427713 4140527
 4033523 4637150 4513523 4444082 4759997 5412703 4176451 4172025 4837279
 5486808 4799714 4887831 5501633 5773663]","['2013-12' '2014-12' '2015-01' '2014-04' '2014-11' '2014-11' '2015-04'
 '2014-08' '2014-05' '2014-02' '2014-10' '2014-09' '2014-08' '2014-11'
 '2015-06' '2014-05' '2014-05' '2014-12' '2015-06' '2014-12' '2014-12'
 '2015-07' '2015-08']",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],23,2,21,0.08695652173913043,0.9130434782608695,23,3233892,5773663,2013-12,2015-08
181937,"[3197628 3203039 5475211 5117858 3226408 3243769 3225206 5366673 3021023
 3179059 4113818 4616726 3980667 5779074 5135995 4326581 4968767 5689717
 4217365 3990312 4596114 3971874 4968760 5520782 4266736 5779142]","['2013-12' '2013-12' '2015-06' '2015-03' '2013-12' '2013-12' '2013-12'
 '2015-06' '2013-09' '2013-12' '2014-04' '2014-10' '2014-01' '2015-08'
 '2015-03' '2014-07' '2015-01' '2015-08' '2014-06' '2014-01' '2014-09'
 '2014-01' '2015-01' '2015-07' '2014-06' '2015-08']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],26,0,26,0.0,1.0,26,3197628,5779142,2013-12,2015-08
353970,[4435520],['2014-08'],[0],1,0,1,0.0,1.0,1,4435520,4435520,2014-08,2014-08
190129,[5750539],['2015-08'],[1],1,1,0,1.0,0.0,1,5750539,5750539,2015-08,2015-08
452276,[3203859 3134900 4657547 5282139],['2013-12' '2013-11' '2014-10' '2015-05'],[1 1 1 1],4,4,0,1.0,0.0,4,3203859,5282139,2013-12,2015-05
395999,[4178429],['2014-05'],[1],1,1,0,1.0,0.0,1,4178429,4178429,2014-05,2014-05
108214,[3068585 3197939 5409999],['2013-10' '2013-12' '2015-06'],[0 0 0],3,0,3,0.0,1.0,3,3068585,5409999,2013-10,2015-06
140980,[4701634 4796901],['2014-11' '2014-12'],[1 1],2,2,0,1.0,0.0,2,4701634,4796901,2014-11,2014-12
18105,[3967336],['2014-01'],[0],1,0,1,0.0,1.0,1,3967336,3967336,2014-01,2014-01
181948,[5018186],['2015-02'],[0],1,0,1,0.0,1.0,1,5018186,5018186,2015-02,2015-02
370365,[4679998 4679177],['2014-10' '2014-10'],[0 0],2,0,2,0.0,1.0,2,4679998,4679177,2014-10,2014-10
239294,[5636250],['2015-07'],[1],1,1,0,1.0,0.0,1,5636250,5636250,2015-07,2015-07
50879,[4191856],['2014-05'],[1],1,1,0,1.0,0.0,1,4191856,4191856,2014-05,2014-05
460476,[4098407],['2014-04'],[1],1,1,0,1.0,0.0,1,4098407,4098407,2014-04,2014-04
321221,[5218871],['2015-04'],[0],1,0,1,0.0,1.0,1,5218871,5218871,2015-04,2015-04
67273,[4609939 4434011],['2014-10' '2014-08'],[0 0],2,0,2,0.0,1.0,2,4609939,4434011,2014-10,2014-08
337612,[5566614],['2015-07'],[1],1,1,0,1.0,0.0,1,5566614,5566614,2015-07,2015-07
18124,[4776560 4686544],['2014-11' '2014-10'],[1 1],2,2,0,1.0,0.0,2,4776560,4686544,2014-11,2014-10
501454,[4791416],['2014-12'],[0],1,0,1,0.0,1.0,1,4791416,4791416,2014-12,2014-12
50896,[5238274],['2015-04'],[1],1,1,0,1.0,0.0,1,5238274,5238274,2015-04,2015-04
75474,[4133756],['2014-04'],[0],1,0,1,0.0,1.0,1,4133756,4133756,2014-04,2014-04
91858,[5454221 4255325],['2015-06' '2014-06'],[1 1],2,2,0,1.0,0.0,2,5454221,4255325,2015-06,2014-06
272084,[4214378 5281713],['2014-05' '2015-05'],[0 0],2,0,2,0.0,1.0,2,4214378,5281713,2014-05,2015-05
517846,[4400357 4429704 4429700 4297652 4473613],['2014-07' '2014-08' '2014-08' '2014-06' '2014-08'],[1 1 1 1 1],5,5,0,1.0,0.0,5,4400357,4473613,2014-07,2014-08
165591,[3138727 4316678 4478551 4408029 4376267],['2013-11' '2014-07' '2014-08' '2014-07' '2014-07'],[1 1 1 1 1],5,5,0,1.0,0.0,5,3138727,4376267,2013-11,2014-07
345816,[3239152],['2013-12'],[1],1,1,0,1.0,0.0,1,3239152,3239152,2013-12,2013-12
476889,"[2988293 3095285 4963078 3218568 4821383 4004246 3170018 4866772 4780980
 3118678 5015756 2996875 4785186 4372703 4911538 4403922 4612568 5534498
 4062944 4497393 5125310 4974364 4965160 5091714 4067986 4880544 5495308
 3971334 4436044 5365464 5299112 4408138 4845660 5044996 5777453 4781176
 4821444 4776803 4595719 4635937 5495942 4192805 4817718 4867311 4717072
 3031715 4288876 3095285 4866772 3170018 2996875 4821383 5015756 4785186
 2988293 4004246 3118678 3218568 3031715 4911538 4780980 5044996 3971334
 5299112 4408138 4288876 4372703 4781176 4717072 5777453 5534498 4974364
 4821444 5091714 5365464 4403922 4062944 4497393 4612568 4880544 4965160
 5495308 5125310 4867311 4192805 4817718 5495942 4067986 4776803 4635937
 4595719 4845660 4436044 4963078]","['2013-09' '2013-10' '2015-01' '2013-12' '2014-12' '2014-01' '2013-12'
 '2014-12' '2014-11' '2013-11' '2015-02' '2013-09' '2014-11' '2014-07'
 '2015-01' '2014-07' '2014-10' '2015-07' '2014-03' '2014-08' '2015-03'
 '2015-01' '2015-01' '2015-03' '2014-03' '2014-12' '2015-07' '2014-01'
 '2014-08' '2015-06' '2015-05' '2014-07' '2014-12' '2015-03' '2015-08'
 '2014-11' '2014-12' '2014-11' '2014-09' '2014-10' '2015-07' '2014-05'
 '2014-12' '2014-12' '2014-11' '2013-09' '2014-06' '2013-10' '2014-12'
 '2013-12' '2013-09' '2014-12' '2015-02' '2014-11' '2013-09' '2014-01'
 '2013-11' '2013-12' '2013-09' '2015-01' '2014-11' '2015-03' '2014-01'
 '2015-05' '2014-07' '2014-06' '2014-07' '2014-11' '2014-11' '2015-08'
 '2015-07' '2015-01' '2014-12' '2015-03' '2015-06' '2014-07' '2014-03'
 '2014-08' '2014-10' '2014-12' '2015-01' '2015-07' '2015-03' '2014-12'
 '2014-05' '2014-12' '2015-07' '2014-03' '2014-11' '2014-10' '2014-09'
 '2014-12' '2014-08' '2015-01']","[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0
 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0
 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]",94,16,78,0.1702127659574468,0.8297872340425532,47,2988293,4963078,2013-09,2015-01
231139,"[5254699 3079390 5343514 3088105 3152040 3026870 4812016 5364750 5247828
 3156938 5524567 5591040 3129870 4751517 4312402 4514069 4690753 4614186
 5608792 4578345 5681626 4282459 4878479 4207434 4791504 5634048]","['2015-05' '2013-10' '2015-05' '2013-10' '2013-11' '2013-09' '2014-12'
 '2015-06' '2015-04' '2013-11' '2015-07' '2015-07' '2013-11' '2014-11'
 '2014-07' '2014-09' '2014-11' '2014-10' '2015-07' '2014-09' '2015-08'
 '2014-06' '2014-12' '2014-05' '2014-12' '2015-07']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],26,0,26,0.0,1.0,26,5254699,5634048,2015-05,2015-07
411364,[4895002],['2014-12'],[1],1,1,0,1.0,0.0,1,4895002,4895002,2014-12,2014-12
255717,[3075653 4661505],['2013-10' '2014-10'],[1 0],2,1,1,0.5,0.5,2,3075653,4661505,2013-10,2014-10
509670,[3171076 3079137 4571176],['2013-11' '2013-10' '2014-09'],[1 1 1],3,3,0,1.0,0.0,3,3171076,4571176,2013-11,2014-09
50920,[5528816 4440145 5529978],['2015-07' '2014-08' '2015-07'],[0 0 1],3,1,2,0.3333333333333333,0.6666666666666666,3,5528816,5529978,2015-07,2015-07
435945,[5697070 5628681 4304149],['2015-08' '2015-07' '2014-07'],[1 1 1],3,3,0,1.0,0.0,3,5697070,4304149,2015-08,2014-07
83692,"[3222408 3210987 3234887 4018942 4151720 4885848 5618043 5135008 5180182
 4954192 4909819 4111735 5617866 4022793 4894899 4861294 4842757 4090092
 5089673 5150113 5521093 5288745 4924213 4308202 4423427 4153646 4851264
 5107145 4754213 4612399 3993456 4907118 4758788 3186940 4784220 5774699]","['2013-12' '2013-12' '2013-12' '2014-02' '2014-05' '2014-12' '2015-07'
 '2015-03' '2015-04' '2015-01' '2015-01' '2014-04' '2015-07' '2014-02'
 '2014-12' '2014-12' '2014-12' '2014-04' '2015-03' '2015-04' '2015-07'
 '2015-05' '2015-01' '2014-07' '2014-08' '2014-05' '2014-12' '2015-03'
 '2014-11' '2014-10' '2014-01' '2015-01' '2014-11' '2013-12' '2014-11'
 '2015-08']",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],36,36,0,1.0,0.0,36,3222408,5774699,2013-12,2015-08
173805,[4030986],['2014-02'],[1],1,1,0,1.0,0.0,1,4030986,4030986,2014-02,2014-02
509678,[4819650],['2014-12'],[1],1,1,0,1.0,0.0,1,4819650,4819650,2014-12,2014-12
329454,[5596836],['2015-07'],[0],1,0,1,0.0,1.0,1,5596836,5596836,2015-07,2015-07
345837,[3069838],['2013-10'],[1],1,1,0,1.0,0.0,1,3069838,3069838,2013-10,2013-10
26348,[4234050 5039526 5040445],['2014-06' '2015-03' '2015-03'],[0 1 1],3,2,1,0.6666666666666666,0.3333333333333333,3,4234050,5040445,2014-06,2015-03
1778,[3222682 3087915 5394989 4233783 4663020 4793685 4093335],['2013-12' '2013-10' '2015-06' '2014-06' '2014-10' '2014-12' '2014-04'],[1 1 1 1 1 0 0],7,5,2,0.7142857142857143,0.2857142857142857,7,3222682,4093335,2013-12,2014-04
411375,[3081598 4769158 4933346 4213139],['2013-10' '2014-11' '2015-01' '2014-05'],[1 1 1 1],4,4,0,1.0,0.0,4,3081598,4213139,2013-10,2014-05
526066,"[4219851 4619533 5609766 4085672 4476184 5480930 4175178 4548271 4282537
 3968717]","['2014-06' '2014-10' '2015-07' '2014-04' '2014-08' '2015-06' '2014-05'
 '2014-09' '2014-06' '2014-01']",[0 0 1 0 0 0 0 0 0 0],10,1,9,0.1,0.9,10,4219851,3968717,2014-06,2014-01
182005,[3057441 4470573],['2013-10' '2014-08'],[1 1],2,2,0,1.0,0.0,2,3057441,4470573,2013-10,2014-08
280313,[5656913 5443795],['2015-08' '2015-06'],[0 0],2,0,2,0.0,1.0,2,5656913,5443795,2015-08,2015-06
419578,[3129033 4022263],['2013-11' '2014-02'],[1 1],2,2,0,1.0,0.0,2,3129033,4022263,2013-11,2014-02
263931,[4415822 4263767],['2014-08' '2014-06'],[0 0],2,0,2,0.0,1.0,2,4415822,4263767,2014-08,2014-06
272124,[3008238 4837584 5763432],['2013-09' '2014-12' '2015-08'],[1 1 1],3,3,0,1.0,0.0,3,3008238,5763432,2013-09,2015-08
59130,[3180612 3168384],['2013-12' '2013-11'],[0 0],2,0,2,0.0,1.0,2,3180612,3168384,2013-12,2013-11
435962,[3196431 3191652 4892249],['2013-12' '2013-12' '2014-12'],[0 0 0],3,0,3,0.0,1.0,3,3196431,4892249,2013-12,2014-12
501497,"[5637761 5236272 4981551 5367245 4875256 4843907 5670987 4191187 5488611
 3998607]","['2015-07' '2015-04' '2015-02' '2015-06' '2014-12' '2014-12' '2015-08'
 '2014-05' '2015-06' '2014-01']",[0 0 0 0 1 1 0 0 0 0],10,2,8,0.2,0.8,10,5637761,3998607,2015-07,2014-01
124670,"[3194128 4456072 4008586 4470307 4433833 4490629 4474718 4478939 4398935
 4398946 4489506 4450531 4456765 4478725 4470051 4470045]","['2013-12' '2014-08' '2014-01' '2014-08' '2014-08' '2014-08' '2014-08'
 '2014-08' '2014-07' '2014-07' '2014-08' '2014-08' '2014-08' '2014-08'
 '2014-08' '2014-08']",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],16,16,0,1.0,0.0,16,3194128,4470045,2013-12,2014-08
149249,[5667712 4308435],['2015-08' '2014-07'],[1 1],2,2,0,1.0,0.0,2,5667712,4308435,2015-08,2014-07
50945,"[5494676 4510174 3056073 5581658 5289520 4738586 5289450 5434846 5289515
 4875781]","['2015-07' '2014-09' '2013-10' '2015-07' '2015-05' '2014-11' '2015-05'
 '2015-06' '2015-05' '2014-12']",[1 1 1 1 1 1 1 1 1 1],10,10,0,1.0,0.0,10,5494676,4875781,2015-07,2014-12
288515,[3178904 3142477 4611299 5279833 4725541 4603109],['2013-12' '2013-11' '2014-10' '2015-05' '2014-11' '2014-10'],[1 1 1 1 1 1],6,6,0,1.0,0.0,6,3178904,4603109,2013-12,2014-10
9988,"[3019270 3149452 4944623 5627668 4898464 5506772 5186950 5407312 4992672
 4114173 5295546 5075877 4271068 5550852 4970151 4137706 4869903]","['2013-09' '2013-11' '2015-01' '2015-07' '2015-01' '2015-07' '2015-04'
 '2015-06' '2015-02' '2014-04' '2015-05' '2015-03' '2014-06' '2015-07'
 '2015-01' '2014-04' '2014-12']",[0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1],17,5,12,0.29411764705882354,0.7058823529411765,17,3019270,4869903,2013-09,2014-12
435971,[3240914 3229842 4895002 4630596],['2013-12' '2013-12' '2014-12' '2014-10'],[1 1 1 0],4,3,1,0.75,0.25,4,3240914,4630596,2013-12,2014-10
468742,[4159858],['2014-05'],[1],1,1,0,1.0,0.0,1,4159858,4159858,2014-05,2014-05
378631,"[3077795 3061238 5492855 4497385 5637230 5467080 5638132 4051619 5050434
 4843571]","['2013-10' '2013-10' '2015-07' '2014-08' '2015-07' '2015-06' '2015-07'
 '2014-03' '2015-03' '2014-12']",[1 1 1 1 1 1 1 1 1 1],10,10,0,1.0,0.0,10,3077795,4843571,2013-10,2014-12
272137,[3167458],['2013-11'],[1],1,1,0,1.0,0.0,1,3167458,3167458,2013-11,2013-11
91915,[4086559],['2014-04'],[1],1,1,0,1.0,0.0,1,4086559,4086559,2014-04,2014-04
493324,[3232936 4213922 4205826 4747350 4144062],['2013-12' '2014-05' '2014-04' '2014-11' '2014-05'],[1 1 1 0 1],5,4,1,0.8,0.2,5,3232936,4144062,2013-12,2014-05
501518,[3990436],['2014-01'],[1],1,1,0,1.0,0.0,1,3990436,3990436,2014-01,2014-01
313105,[5487032 5486970 5691201],['2015-06' '2015-06' '2015-08'],[1 1 1],3,3,0,1.0,0.0,3,5487032,5691201,2015-06,2015-08
100114,"[3047514 3139374 5606807 4895844 4059883 5120589 4335076 4736507 4396874
 4972232 4188317 4912208 4393717 5349761 4003956 5487130]","['2013-10' '2013-11' '2015-07' '2014-12' '2014-03' '2015-03' '2014-07'
 '2014-11' '2014-07' '2015-01' '2014-05' '2015-01' '2014-07' '2015-05'
 '2014-01' '2015-06']",[1 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1],16,8,8,0.5,0.5,16,3047514,5487130,2013-10,2015-06
321303,[5345480],['2015-05'],[0],1,0,1,0.0,1.0,1,5345480,5345480,2015-05,2015-05
501533,[5572564],['2015-07'],[1],1,1,0,1.0,0.0,1,5572564,5572564,2015-07,2015-07
378660,"[5141321 3052915 4951903 5015677 5015721 4466301 4466302 4977861 4805618
 4335790 5787663 4417472 4398826]","['2015-03' '2013-10' '2015-01' '2015-02' '2015-02' '2014-08' '2014-08'
 '2015-02' '2014-12' '2014-07' '2015-08' '2014-08' '2014-07']",[0 1 0 1 1 1 1 1 1 1 1 1 1],13,11,2,0.8461538461538461,0.15384615384615385,13,5141321,4398826,2015-03,2014-07
395046,[3222591 4809039 3972542 4105245],['2013-12' '2014-12' '2014-01' '2014-04'],[0 1 0 0],4,1,3,0.25,0.75,4,3222591,4105245,2013-12,2014-04
378663,[4821806],['2014-12'],[1],1,1,0,1.0,0.0,1,4821806,4821806,2014-12,2014-12
517928,[4159808 4649993],['2014-05' '2014-10'],[0 0],2,0,2,0.0,1.0,2,4159808,4649993,2014-05,2014-10
313130,[4917365 4828587 4878177],['2015-01' '2014-12' '2014-12'],[1 1 1],3,3,0,1.0,0.0,3,4917365,4878177,2015-01,2014-12
526122,[5316365 5744446 4443105],['2015-05' '2015-08' '2014-08'],[0 0 0],3,0,3,0.0,1.0,3,5316365,4443105,2015-05,2014-08
403244,[4672987],['2014-10'],[1],1,1,0,1.0,0.0,1,4672987,4672987,2014-10,2014-10
296749,[2983685 5461961 2983324 4968941 4785030 5165779 5765283 4069132],"['2013-09' '2015-06' '2013-09' '2015-01' '2014-11' '2015-04' '2015-08'
 '2014-03']",[0 0 0 0 1 1 0 0],8,2,6,0.25,0.75,8,2983685,4069132,2013-09,2014-03
493358,"[3124370 5787920 2998971 3074612 4539401 4724371 4182372 4224559 5492855
 4688732 4415653]","['2013-11' '2015-08' '2013-09' '2013-10' '2014-09' '2014-11' '2014-05'
 '2014-06' '2015-07' '2014-11' '2014-08']",[0 0 0 0 0 0 0 0 1 1 1],11,3,8,0.2727272727272727,0.7272727272727273,11,3124370,4415653,2013-11,2014-08
108335,[5463655 4051177 4208873 4009315 3184779 5634636 5764381 5503314],"['2015-06' '2014-03' '2014-04' '2014-02' '2013-12' '2015-07' '2015-08'
 '2015-07']",[1 0 1 0 1 1 1 0],8,5,3,0.625,0.375,8,5463655,5503314,2015-06,2015-07
198450,[3088960],['2013-10'],[1],1,1,0,1.0,0.0,1,3088960,3088960,2013-10,2013-10
345908,[4474291 5537951 5507644 4443422],['2014-08' '2015-07' '2015-07' '2014-08'],[1 1 1 1],4,4,0,1.0,0.0,4,4474291,4443422,2014-08,2014-08
304948,[5155933 4166963],['2015-04' '2014-05'],[1 1],2,2,0,1.0,0.0,2,5155933,4166963,2015-04,2014-05
427830,[3068554 4210457 4684323],['2013-10' '2014-05' '2014-10'],[1 1 1],3,3,0,1.0,0.0,3,3068554,4684323,2013-10,2014-10
419638,[4735881],['2014-11'],[0],1,0,1,0.0,1.0,1,4735881,4735881,2014-11,2014-11
403258,"[3187487 3186964 3184158 3014023 2988651 3227592 4012845 5111080 4818565
 5272798 4764145 4579160]","['2013-12' '2013-12' '2013-12' '2013-09' '2013-09' '2013-12' '2014-02'
 '2015-03' '2014-12' '2015-05' '2014-11' '2014-09']",[1 1 1 1 1 1 1 0 1 1 1 1],12,11,1,0.9166666666666666,0.08333333333333333,12,3187487,4579160,2013-12,2014-09
26427,[4891696 5454995],['2014-12' '2015-06'],[0 1],2,1,1,0.5,0.5,2,4891696,5454995,2014-12,2015-06
67388,[3209526 3068513 3085911 3132511],['2013-12' '2013-10' '2013-10' '2013-11'],[1 1 1 1],4,4,0,1.0,0.0,4,3209526,3132511,2013-12,2013-11
247613,[4755628],['2014-11'],[0],1,0,1,0.0,1.0,1,4755628,4755628,2014-11,2014-11
26429,[5234299 4881912],['2015-04' '2014-12'],[1 1],2,2,0,1.0,0.0,2,5234299,4881912,2015-04,2014-12
509758,[4831969],['2014-12'],[1],1,1,0,1.0,0.0,1,4831969,4831969,2014-12,2014-12
51008,[4729551 4735804 4699641],['2014-11' '2014-11' '2014-11'],[1 1 1],3,3,0,1.0,0.0,3,4729551,4699641,2014-11,2014-11
419651,[5492855],['2015-07'],[1],1,1,0,1.0,0.0,1,5492855,5492855,2015-07,2015-07
313156,[2972474 4250065],['2013-09' '2014-06'],[1 1],2,2,0,1.0,0.0,2,2972474,4250065,2013-09,2014-06
272197,[3239152],['2013-12'],[1],1,1,0,1.0,0.0,1,3239152,3239152,2013-12,2013-12
280391,[2978569],['2013-09'],[1],1,1,0,1.0,0.0,1,2978569,2978569,2013-09,2013-09
116552,[4712383],['2014-11'],[0],1,0,1,0.0,1.0,1,4712383,4712383,2014-11,2014-11
286938,[3130730],['2013-11'],[1],1,1,0,1.0,0.0,1,3130730,3130730,2013-11,2013-11
239435,[5422144],['2015-06'],[0],1,0,1,0.0,1.0,1,5422144,5422144,2015-06,2015-06
149324,[4987663],['2015-02'],[1],1,1,0,1.0,0.0,1,4987663,4987663,2015-02,2015-02
264017,[3178178 3193470 5698384],['2013-12' '2013-12' '2015-08'],[0 0 0],3,0,3,0.0,1.0,3,3178178,5698384,2013-12,2015-08
436051,[4977035],['2015-02'],[0],1,0,1,0.0,1.0,1,4977035,4977035,2015-02,2015-02
264019,[4301192 5299048 4680252 4248888 4743213 3217838],['2014-07' '2015-05' '2014-10' '2014-06' '2014-11' '2013-12'],[1 1 1 1 1 1],6,6,0,1.0,0.0,6,4301192,3217838,2014-07,2013-12
370517,[5249496],['2015-04'],[1],1,1,0,1.0,0.0,1,5249496,5249496,2015-04,2015-04
444246,"[4983423 4048876 4682274 4871262 4823159 5519752 5787256 5359647 4266464
 5000850]","['2015-02' '2014-03' '2014-10' '2014-12' '2014-12' '2015-07' '2015-08'
 '2015-06' '2014-06' '2015-02']",[1 1 0 1 1 1 1 1 1 1],10,9,1,0.9,0.1,10,4983423,5000850,2015-02,2015-02
378710,[5761397],['2015-08'],[0],1,0,1,0.0,1.0,1,5761397,5761397,2015-08,2015-08
378707,"[3040327 3009083 4266616 3972041 3979275 4221714 4831933 4689022 5280395
 4482202 4170172 5231915 4981834 4509491 4768504]","['2013-10' '2013-09' '2014-06' '2014-01' '2014-01' '2014-06' '2014-12'
 '2014-11' '2015-05' '2014-08' '2014-05' '2015-04' '2015-02' '2014-09'
 '2014-11']",[1 1 0 0 0 1 0 1 0 0 0 0 0 0 0],15,4,11,0.26666666666666666,0.7333333333333333,15,3040327,4768504,2013-10,2014-11
485209,[4384249 5462458],['2014-07' '2015-06'],[1 1],2,2,0,1.0,0.0,2,4384249,5462458,2014-07,2015-06
517978,"[3243735 3094047 3099059 3092409 3094041 3098048 3969581 5381346 5471844
 3981655 4845780 4003509]","['2013-12' '2013-10' '2013-11' '2013-10' '2013-10' '2013-11' '2014-01'
 '2015-06' '2015-06' '2014-01' '2014-12' '2014-01']",[0 0 0 0 0 0 0 0 0 0 0 0],12,0,12,0.0,1.0,12,3243735,4003509,2013-12,2014-01
386907,[3001467 3183951 4360395 4476838 4438389 4371953 4194403],['2013-09' '2013-12' '2014-07' '2014-08' '2014-08' '2014-07' '2014-05'],[0 0 1 0 0 0 1],7,2,5,0.2857142857142857,0.7142857142857143,7,3001467,4194403,2013-09,2014-05
182111,[5539863 5446287],['2015-07' '2015-06'],[0 0],2,0,2,0.0,1.0,2,5539863,5446287,2015-07,2015-06
173919,[5479565 5587436 5696147 4473772 4470694 4154672 5697420 4626433],"['2015-06' '2015-07' '2015-08' '2014-08' '2014-08' '2014-05' '2015-08'
 '2014-10']",[0 0 0 0 0 1 0 1],8,2,6,0.25,0.75,8,5479565,4626433,2015-06,2014-10
329569,[3165792 4439284 4197129 4859687],['2013-11' '2014-08' '2014-05' '2014-12'],[1 1 1 1],4,4,0,1.0,0.0,4,3165792,4859687,2013-11,2014-12
149346,[5127511],['2015-03'],[1],1,1,0,1.0,0.0,1,5127511,5127511,2015-03,2015-03
231270,[3238493 5698124 4478390],['2013-12' '2015-08' '2014-08'],[1 1 1],3,3,0,1.0,0.0,3,3238493,4478390,2013-12,2014-08
34664,[2999546],['2013-09'],[0],1,0,1,0.0,1.0,1,2999546,2999546,2013-09,2013-09
198505,[3222408],['2013-12'],[1],1,1,0,1.0,0.0,1,3222408,3222408,2013-12,2013-12
67434,"[3033698 3128797 4203118 5769110 4550640 5199059 5156885 4952424 4325198
 3998639 5199044 4233867]","['2013-09' '2013-11' '2014-05' '2015-08' '2014-09' '2015-04' '2015-04'
 '2015-01' '2014-07' '2014-01' '2015-04' '2014-06']",[1 0 0 1 0 0 0 0 1 1 0 1],12,5,7,0.4166666666666667,0.5833333333333334,12,3033698,4233867,2013-09,2014-06
214893,[3065910],['2013-10'],[0],1,0,1,0.0,1.0,1,3065910,3065910,2013-10,2013-10
386928,[3001811],['2013-09'],[0],1,0,1,0.0,1.0,1,3001811,3001811,2013-09,2013-09
149361,[4349672],['2014-07'],[1],1,1,0,1.0,0.0,1,4349672,4349672,2014-07,2014-07
337776,[5492855],['2015-07'],[1],1,1,0,1.0,0.0,1,5492855,5492855,2015-07,2015-07
182130,[3239152],['2013-12'],[1],1,1,0,1.0,0.0,1,3239152,3239152,2013-12,2013-12
460660,[4030986],['2014-02'],[1],1,1,0,1.0,0.0,1,4030986,4030986,2014-02,2014-02
460662,[4230869 5609618 4230867 4621306 4357061 5306179],['2014-06' '2015-07' '2014-06' '2014-10' '2014-07' '2015-05'],[1 1 1 1 1 1],6,6,0,1.0,0.0,6,4230869,5306179,2014-06,2015-05
100215,[4389384 4479264],['2014-07' '2014-08'],[1 1],2,2,0,1.0,0.0,2,4389384,4479264,2014-07,2014-08
498616,[5488299],['2015-06'],[0],1,0,1,0.0,1.0,1,5488299,5488299,2015-06,2015-06
149369,[5678829],['2015-08'],[0],1,0,1,0.0,1.0,1,5678829,5678829,2015-08,2015-08
337786,[4803833 5552923 4467338 4277206 4547319],['2014-12' '2015-07' '2014-08' '2014-06' '2014-09'],[0 0 1 0 1],5,2,3,0.4,0.6,5,4803833,4547319,2014-12,2014-09
403322,"[4699592 5609606 5622676 5173902 4536708 4548421 5362057 4958104 4905617
 4288179 4646746 5609124 4315459]","['2014-11' '2015-07' '2015-07' '2015-04' '2014-09' '2014-09' '2015-06'
 '2015-01' '2015-01' '2014-06' '2014-10' '2015-07' '2014-07']",[1 1 1 1 1 1 1 1 1 1 1 0 0],13,11,2,0.8461538461538461,0.15384615384615385,13,4699592,4315459,2014-11,2014-07
1914,[4072484],['2014-03'],[1],1,1,0,1.0,0.0,1,4072484,4072484,2014-03,2014-03
