"EID","WZCODE","RECRNUM","RECDATE"
"378621","ZP03","4","2015-05"
"378800","ZP02","2","2015-03"
"380050","ZP02","135","2015-08"
"380050","ZP03","37","2015-08"
"380489","ZP02","57","2015-08"
"380489","ZP03","18","2015-08"
"381754","ZP01","1","2015-06"
"382949","ZP02","6","2015-08"
"383418","ZP02","1","2015-08"
"384283","ZP02","18","2015-03"
"384351","ZP02","11","2015-08"
"384394","ZP02","131","2015-06"
"384526","ZP03","31","2015-04"
"386111","ZP02","4","2015-05"
"386111","ZP03","1","2015-05"
"386931","ZP02","24","2015-08"
"388009","ZP01","13","2015-02"
"388009","ZP03","2","2015-08"
"389643","ZP01","2","2015-08"
"389837","ZP02","4","2015-06"
"390595","ZP02","2","2015-08"
"390595","ZP03","2","2015-08"
"390960","ZP02","23","2015-08"
"391053","ZP02","1","2015-04"
"391326","ZP03","1","2015-04"
"391452","ZP02","12","2015-06"
"391525","ZP02","10","2015-08"
"391525","ZP03","1","2015-03"
"392327","ZP02","58","2015-08"
"393481","ZP02","5","2015-08"
"393481","ZP03","4","2015-05"
"394612","ZP02","7","2015-08"
"394612","ZP03","4","2015-05"
"395345","ZP02","54","2015-08"
"395345","ZP03","5","2015-07"
"396060","ZP03","15","2015-01"
"396466","ZP01","45","2015-08"
"396466","ZP02","37","2015-08"
"396466","ZP03","10","2015-08"
"396737","ZP03","4","2015-08"
"397032","ZP03","1","2015-04"
"397866","ZP03","42","2015-08"
"400053","ZP02","16","2015-05"
"400191","ZP02","9","2015-08"
"401216","ZP02","11","2015-08"
"401216","ZP03","7","2015-08"
"401593","ZP02","16","2015-08"
"402625","ZP02","7","2015-08"
"402625","ZP03","27","2015-08"
"402633","ZP03","7","2015-08"
"404644","ZP02","9","2015-08"
"406114","ZP02","13","2015-08"
"407074","ZP02","1","2015-07"
"408174","ZP02","6","2015-04"
"411546","ZP03","1","2015-04"
"412097","ZP02","2","2015-08"
"412468","ZP03","15","2015-08"
"412870","ZP02","24","2015-03"
"412870","ZP03","15","2015-07"
"412916","ZP03","4","2015-08"
"413092","ZP02","19","2015-08"
"413092","ZP03","5","2015-05"
"414414","ZP02","7","2015-08"
"414651","ZP02","15","2015-08"
"415608","ZP03","2","2015-02"
"416608","ZP01","4","2015-04"
"416608","ZP02","1","2015-01"
"416887","ZP02","4","2015-05"
"417165","ZP02","26","2015-06"
"417165","ZP03","23","2015-06"
"419842","ZP02","27","2015-07"
"421124","ZP02","4","2015-04"
"421502","ZP03","4","2015-08"
"422048","ZP02","37","2015-08"
"422048","ZP03","28","2015-08"
"422848","ZP03","16","2015-08"
"423620","ZP02","10","2015-05"
"423620","ZP03","2","2015-08"
"426217","ZP02","15","2015-08"
"429373","ZP02","4","2015-08"
"429632","ZP03","4","2015-07"
"429853","ZP02","5","2015-06"
"429853","ZP03","3","2015-08"
"430476","ZP03","2","2015-03"
"433407","ZP03","7","2015-08"
"433849","ZP02","57","2015-03"
"434144","ZP02","7","2015-05"
"434223","ZP01","2","2015-01"
"434223","ZP02","6","2015-04"
"434223","ZP03","4","2015-08"
"434871","ZP02","792","2015-08"
"435866","ZP02","1","2015-01"
"435983","ZP03","24","2015-08"
"436785","ZP02","3","2015-05"
"436785","ZP03","9","2015-03"
"437017","ZP02","62","2015-08"
"437017","ZP03","2","2015-04"
"437582","ZP02","1","2015-08"
"437892","ZP02","3","2015-05"
"437892","ZP03","27","2015-08"
"438336","ZP02","60","2015-04"
"443285","ZP02","39","2015-08"
"443285","ZP03","10","2015-08"
"443861","ZP03","9","2015-08"
"444832","ZP02","1","2015-04"
"445507","ZP01","1","2015-05"
"445769","ZP02","1253","2015-08"
"445769","ZP03","415","2015-08"
"446045","ZP01","17","2015-07"
"446067","ZP02","84","2015-08"
"446067","ZP03","40","2015-08"
"446503","ZP02","92","2015-08"
"447164","ZP02","2","2015-01"
"447360","ZP02","29","2015-08"
"450169","ZP02","23","2015-06"
"450283","ZP03","13","2015-07"
"450827","ZP01","7","2015-05"
"450827","ZP02","214","2015-08"
"450827","ZP03","20","2015-08"
"451641","ZP03","2","2015-03"
"452516","ZP02","8","2015-08"
"452516","ZP03","1","2015-07"
"453375","ZP02","13","2015-08"
"455010","ZP02","3","2015-07"
"457543","ZP03","6","2015-08"
"459055","ZP02","7","2015-08"
"459303","ZP03","2","2015-03"
"459715","ZP02","23","2015-08"
"460026","ZP02","42","2015-08"
"460026","ZP03","31","2015-08"
"460302","ZP02","59","2015-08"
"461073","ZP02","2","2015-03"
"462722","ZP03","63","2015-08"
"463570","ZP01","15","2015-08"
"463570","ZP02","13","2015-08"
"463570","ZP03","3","2015-04"
"465480","ZP03","2","2015-03"
"465605","ZP02","13","2015-05"
"465926","ZP02","9","2015-08"
"466750","ZP02","8","2015-08"
"469341","ZP02","8","2015-08"
"469866","ZP02","11","2015-07"
"475076","ZP02","9","2015-03"
"476754","ZP03","4","2015-08"
"477108","ZP02","12","2015-06"
"477108","ZP03","2","2015-08"
"478901","ZP01","1","2015-05"
"478901","ZP02","124","2015-08"
"479705","ZP02","11","2015-08"
"480658","ZP02","22","2015-08"
"482309","ZP02","2","2015-01"
"482575","ZP01","3","2015-02"
"482575","ZP02","6","2015-08"
"482575","ZP03","14","2015-08"
"483063","ZP03","5","2015-08"
"483585","ZP02","145","2015-08"
"483759","ZP03","4","2015-07"
"483847","ZP03","14","2015-08"
"485560","ZP02","59","2015-08"
"485992","ZP02","4","2015-08"
"487095","ZP02","30","2015-07"
"487627","ZP01","15","2015-08"
"487627","ZP03","17","2015-08"
"490633","ZP02","472","2015-04"
"490633","ZP03","17","2015-06"
"493804","ZP02","3","2015-04"
"493804","ZP03","3","2015-01"
"493844","ZP02","14","2015-08"
"493844","ZP03","6","2015-08"
"494019","ZP02","19","2015-08"
"494019","ZP03","3","2015-08"
"494449","ZP02","112","2015-08"
"494449","ZP03","58","2015-08"
"494762","ZP02","5","2015-08"
"496699","ZP03","2","2015-06"
"496757","ZP01","6","2015-05"
"498746","ZP01","19","2015-08"
"498746","ZP02","203","2015-08"
"498934","ZP02","9","2015-01"
"499173","ZP02","18","2015-08"
"499284","ZP02","8","2015-08"
"499746","ZP02","32","2015-08"
"501969","ZP01","2","2015-03"
"502068","ZP03","5","2015-08"
"502343","ZP02","741","2015-08"
"504060","ZP03","2","2015-08"
"505162","ZP02","14","2015-07"
"505162","ZP03","6","2015-02"
"506241","ZP02","39","2015-08"
"506244","ZP03","11","2015-08"
"507025","ZP02","9","2015-04"
"509694","ZP03","22","2015-08"
"510644","ZP01","2","2015-08"
"510644","ZP02","7","2015-07"
"510644","ZP03","7","2015-07"
"511182","ZP03","10","2015-06"
"511211","ZP01","2","2015-01"
"513140","ZP02","21","2015-08"
"515391","ZP01","130","2015-08"
"515391","ZP02","313","2015-08"
"515391","ZP03","124","2015-08"
"515431","ZP02","62","2015-08"
"515431","ZP03","41","2015-08"
"516411","ZP01","5","2015-05"
"518551","ZP03","4","2015-01"
"519021","ZP03","5","2015-05"
"519442","ZP02","19","2015-08"
"519986","ZP02","24","2015-08"
"520195","ZP02","26","2015-08"
"520195","ZP03","8","2015-03"
"520219","ZP02","1","2015-08"
"520893","ZP02","2","2015-07"
"521208","ZP01","613","2015-08"
"521208","ZP02","35","2015-06"
"521208","ZP03","6","2015-04"
"521362","ZP02","157","2015-08"
"521793","ZP01","4","2015-06"
"521793","ZP02","2","2015-05"
"521793","ZP03","1","2015-04"
"521830","ZP03","2","2015-06"
"522863","ZP02","10","2015-08"
"523574","ZP02","5","2015-07"
"524290","ZP02","1","2015-03"
"524290","ZP03","2","2015-03"
"524383","ZP02","87","2015-08"
"524383","ZP03","106","2015-08"
"524925","ZP02","11","2015-08"
"526018","ZP01","25","2015-08"
"526018","ZP02","113","2015-08"
"526018","ZP03","2","2015-07"
"526303","ZP01","13","2015-08"
"64","ZP03","59","2015-08"
"304","ZP03","6","2015-08"
"1594","ZP01","4","2015-05"
"1594","ZP02","5","2015-08"
"1976","ZP01","8","2015-08"
"2381","ZP03","23","2015-08"
"2843","ZP02","3","2015-07"
"4863","ZP03","12","2015-08"
"5010","ZP02","11","2015-08"
"6100","ZP02","25","2015-08"
"6100","ZP03","22","2015-08"
"6122","ZP02","11","2015-08"
"6122","ZP03","1","2015-05"
"7310","ZP03","21","2015-08"
"7602","ZP02","11","2015-08"
"7602","ZP03","7","2015-08"
"8475","ZP02","4","2015-07"
"8705","ZP02","3","2015-08"
"10022","ZP02","4","2015-07"
"10022","ZP03","4","2015-08"
"11665","ZP02","8","2015-08"
"12770","ZP02","6","2015-05"
"15167","ZP02","4","2015-06"
"15570","ZP02","3","2015-07"
"15877","ZP02","21","2015-06"
"16289","ZP02","2","2015-04"
"18670","ZP02","32","2015-06"
"18848","ZP02","10","2015-08"
"18848","ZP03","2","2015-08"
"18936","ZP02","7","2015-08"
"18946","ZP02","36","2015-07"
"21726","ZP03","2","2015-06"
"22111","ZP02","3","2015-08"
"24449","ZP02","2","2015-08"
"24926","ZP03","23","2015-02"
"26309","ZP03","7","2015-05"
"27011","ZP03","5","2015-08"
"27213","ZP01","2","2015-05"
"27786","ZP02","25","2015-08"
"27869","ZP01","162","2015-08"
"27869","ZP02","423","2015-08"
"27869","ZP03","195","2015-08"
"29093","ZP03","13","2015-05"
"29874","ZP03","5","2015-04"
"31227","ZP02","7","2015-08"
"32229","ZP03","15","2015-08"
"35473","ZP02","51","2015-08"
"35975","ZP01","2","2015-05"
"35975","ZP03","2","2015-03"
"37329","ZP02","8","2015-08"
"38682","ZP02","90","2015-08"
"38682","ZP03","62","2015-08"
"39019","ZP02","43","2015-07"
"39228","ZP02","36","2015-08"
"39228","ZP03","36","2015-08"
"39520","ZP02","37","2015-08"
"39520","ZP03","26","2015-08"
"40410","ZP02","317","2015-08"
"40410","ZP03","15","2015-08"
"40524","ZP03","6","2015-08"
"42260","ZP03","5","2015-08"
"43350","ZP01","16","2015-07"
"43350","ZP02","118","2015-08"
"43350","ZP03","33","2015-06"
"46123","ZP01","1","2015-02"
"46387","ZP02","2","2015-05"
"46705","ZP02","2","2015-07"
"47400","ZP02","3","2015-07"
"47714","ZP02","1","2015-05"
"47764","ZP03","78","2015-08"
"47969","ZP03","10","2015-08"
"48302","ZP02","1","2015-05"
"49176","ZP03","15","2015-08"
"50566","ZP01","56","2015-08"
"50566","ZP02","219","2015-08"
"50566","ZP03","60","2015-08"
"50943","ZP02","3","2015-03"
"53518","ZP03","2","2015-08"
"57959","ZP01","1","2015-01"
"59249","ZP03","2","2015-04"
"60911","ZP02","6","2015-07"
"60911","ZP03","5","2015-08"
"61567","ZP02","22","2015-08"
"63197","ZP03","3","2015-08"
"63524","ZP02","2","2015-06"
"64025","ZP03","4","2015-01"
"65408","ZP02","3","2015-04"
"65408","ZP03","79","2015-08"
"65751","ZP02","15","2015-05"
"66379","ZP02","94","2015-07"
"66379","ZP03","79","2015-08"
"66951","ZP02","187","2015-08"
"66951","ZP03","145","2015-08"
"68551","ZP02","5","2015-03"
"69101","ZP02","1","2015-04"
"69778","ZP01","2","2015-02"
"69778","ZP02","21","2015-08"
"72162","ZP03","33","2015-08"
"75042","ZP02","30","2015-08"
"75042","ZP03","6","2015-08"
"75665","ZP02","21","2015-04"
"75703","ZP01","1","2015-05"
"76361","ZP02","12","2015-02"
"76361","ZP03","21","2015-08"
"78724","ZP02","7","2015-08"
"79302","ZP02","27","2015-08"
"79947","ZP02","11","2015-08"
"80283","ZP02","61","2015-07"
"80283","ZP03","30","2015-07"
"80373","ZP01","17","2015-08"
"80373","ZP02","178","2015-08"
"80373","ZP03","46","2015-08"
"81070","ZP02","3","2015-08"
"81405","ZP01","4","2015-07"
"81405","ZP02","9","2015-08"
"81405","ZP03","28","2015-05"
"81819","ZP02","18","2015-08"
"81819","ZP03","2","2015-08"
"82428","ZP02","41","2015-08"
"84494","ZP02","2","2015-03"
"84725","ZP01","94","2015-08"
"84725","ZP02","66","2015-08"
"84725","ZP03","12","2015-08"
"84803","ZP03","4","2015-03"
"85175","ZP02","9","2015-08"
"86206","ZP02","1","2015-06"
"90881","ZP02","1","2015-04"
"91945","ZP03","6","2015-08"
"94524","ZP02","9","2015-05"
"94524","ZP03","5","2015-01"
"94595","ZP03","26","2015-08"
"94804","ZP02","1","2015-08"
"95273","ZP03","16","2015-08"
"98649","ZP02","44","2015-08"
"98649","ZP03","54","2015-08"
"99174","ZP02","21","2015-08"
"99295","ZP02","10","2015-08"
"99295","ZP03","10","2015-03"
"99634","ZP02","16","2015-08"
"99843","ZP01","578","2015-08"
"99843","ZP03","68","2015-08"
"100902","ZP02","16","2015-08"
"100902","ZP03","16","2015-08"
"101039","ZP03","1","2015-07"
"101658","ZP02","12","2015-05"
"102160","ZP02","12","2015-05"
"102165","ZP02","2","2015-04"
"102165","ZP03","2","2015-08"
"102337","ZP03","6","2015-06"
"103650","ZP02","2","2015-03"
"105051","ZP03","10","2015-04"
"105589","ZP03","7","2015-08"
"107340","ZP03","5","2015-05"
"108277","ZP03","1","2015-06"
"109123","ZP02","19","2015-05"
"109395","ZP03","2","2015-08"
"109587","ZP02","14","2015-08"
"111206","ZP02","6","2015-06"
"111206","ZP03","5","2015-08"
"113405","ZP03","22","2015-08"
"114477","ZP01","7","2015-05"
"114500","ZP02","23","2015-08"
"114500","ZP03","15","2015-08"
"114526","ZP03","2","2015-08"
"115855","ZP02","50","2015-08"
"116057","ZP02","42","2015-08"
"116057","ZP03","20","2015-08"
"118011","ZP02","1","2015-04"
"118170","ZP02","9","2015-04"
"118757","ZP02","19","2015-08"
"118757","ZP03","11","2015-01"
"118830","ZP03","21","2015-08"
"119678","ZP02","26","2015-08"
"120319","ZP02","1","2015-08"
"121054","ZP03","4","2015-07"
"121493","ZP02","37","2015-08"
"122387","ZP02","21","2015-04"
"122651","ZP02","5","2015-06"
"123263","ZP02","23","2015-08"
"123263","ZP03","2","2015-05"
"124388","ZP02","6","2015-07"
"124388","ZP03","1","2015-01"
"125977","ZP02","9","2015-05"
"125977","ZP03","18","2015-08"
"126456","ZP02","8","2015-08"
"127242","ZP02","5","2015-08"
"127318","ZP02","6","2015-08"
"128273","ZP02","100","2015-05"
"128540","ZP01","11","2015-08"
"129042","ZP01","3","2015-08"
"129042","ZP02","1","2015-01"
"129328","ZP02","35","2015-05"
"129328","ZP03","22","2015-08"
"129984","ZP02","13","2015-08"
"129984","ZP03","15","2015-08"
"130125","ZP02","2","2015-06"
"131529","ZP03","2","2015-03"
"131738","ZP02","46","2015-08"
"131738","ZP03","7","2015-03"
"132908","ZP02","12","2015-08"
"133571","ZP01","10","2015-08"
"133571","ZP03","3","2015-04"
"133948","ZP01","3","2015-03"
"134085","ZP03","10","2015-07"
"134427","ZP01","4","2015-05"
"134427","ZP02","16","2015-08"
"134427","ZP03","19","2015-08"
"136675","ZP03","1","2015-08"
"136823","ZP02","19","2015-08"
"138019","ZP02","29","2015-08"
"138019","ZP03","2","2015-08"
"138039","ZP03","4","2015-07"
"138572","ZP02","15","2015-08"
"138572","ZP03","9","2015-03"
"139163","ZP02","37","2015-08"
"139163","ZP03","5","2015-04"
"139253","ZP02","7","2015-08"
"139253","ZP03","5","2015-08"
"140374","ZP03","3","2015-08"
"141744","ZP03","7","2015-08"
"142663","ZP02","11","2015-08"
"142663","ZP03","8","2015-07"
"143499","ZP03","5","2015-08"
"145329","ZP03","21","2015-08"
"145728","ZP02","8","2015-08"
"146070","ZP02","66","2015-08"
"146435","ZP02","13","2015-08"
"146435","ZP03","1","2015-07"
"147446","ZP02","14","2015-08"
"147810","ZP03","7","2015-08"
"149667","ZP01","15","2015-08"
"149667","ZP02","31","2015-08"
"152769","ZP01","35","2015-06"
"152769","ZP03","33","2015-08"
"155441","ZP02","9","2015-07"
"156806","ZP02","18","2015-08"
"157283","ZP02","2","2015-08"
"157663","ZP02","5","2015-05"
"157952","ZP03","4","2015-08"
"158408","ZP01","87","2015-08"
"158408","ZP02","83","2015-08"
"158408","ZP03","35","2015-08"
"159407","ZP01","75","2015-08"
"159407","ZP02","352","2015-08"
"159407","ZP03","270","2015-08"
"160792","ZP02","14","2015-06"
"161326","ZP02","9","2015-03"
"162353","ZP02","1","2015-08"
"162353","ZP03","1","2015-08"
"162501","ZP02","20","2015-08"
"162722","ZP03","24","2015-07"
"164922","ZP01","7","2015-03"
"164922","ZP02","87","2015-08"
"165127","ZP02","44","2015-08"
"165127","ZP03","48","2015-08"
"165958","ZP02","3","2015-07"
"165958","ZP03","3","2015-04"
"167002","ZP02","5","2015-08"
"167002","ZP03","62","2015-08"
"167358","ZP02","41","2015-07"
"167498","ZP03","3","2015-06"
"168065","ZP01","1","2015-07"
"168065","ZP03","4","2015-05"
"169116","ZP02","1","2015-04"
"170192","ZP01","2","2015-07"
"170192","ZP03","6","2015-04"
"170432","ZP01","66","2015-07"
"170432","ZP02","116","2015-08"
"170432","ZP03","101","2015-05"
"171339","ZP02","12","2015-05"
"171339","ZP03","11","2015-08"
"172789","ZP01","1","2015-05"
"172789","ZP02","9","2015-08"
"172789","ZP03","25","2015-08"
"173172","ZP02","2","2015-08"
"173177","ZP03","1","2015-03"
"175802","ZP01","3","2015-01"
"175802","ZP02","37","2015-08"
"175802","ZP03","12","2015-05"
"175912","ZP03","1","2015-01"
"176309","ZP02","10","2015-03"
"176309","ZP03","11","2015-08"
"176457","ZP03","11","2015-08"
"176731","ZP02","5","2015-08"
"178157","ZP02","10","2015-08"
"178157","ZP03","3","2015-05"
"178487","ZP03","9","2015-04"
"178734","ZP02","10","2015-08"
"182469","ZP01","15","2015-08"
"182469","ZP02","42","2015-08"
"182469","ZP03","23","2015-05"
"182936","ZP03","4","2015-03"
"183914","ZP03","1","2015-07"
"186217","ZP02","2","2015-07"
"187272","ZP02","3","2015-06"
"188926","ZP02","2","2015-06"
"191575","ZP01","30","2015-07"
"191669","ZP02","67","2015-08"
"196273","ZP02","52","2015-08"
"198196","ZP02","7","2015-07"
"200954","ZP02","2","2015-01"
"201549","ZP02","9","2015-07"
"202145","ZP03","68","2015-08"
"202262","ZP03","4","2015-05"
"202530","ZP02","6","2015-03"
"206605","ZP03","4","2015-03"
"207578","ZP02","3","2015-01"
"207936","ZP02","10","2015-08"
"208427","ZP02","2","2015-02"
"209039","ZP02","10","2015-07"
"209454","ZP03","15","2015-03"
"210355","ZP02","1","2015-07"
"211401","ZP02","4","2015-08"
"212906","ZP02","6","2015-05"
"213769","ZP03","37","2015-08"
"213936","ZP03","68","2015-08"
"215246","ZP02","19","2015-08"
"215246","ZP03","32","2015-08"
"217160","ZP02","1","2015-03"
"218090","ZP02","3","2015-07"
"218357","ZP02","1","2015-08"
"219169","ZP03","2","2015-05"
"219178","ZP03","7","2015-08"
"219934","ZP01","1","2015-02"
"219934","ZP03","13","2015-08"
"220038","ZP03","3","2015-07"
"220069","ZP02","12","2015-08"
"220082","ZP02","39","2015-08"
"220189","ZP01","1","2015-06"
"220189","ZP02","1","2015-05"
"223707","ZP01","2","2015-03"
"223707","ZP02","36","2015-02"
"223707","ZP03","55","2015-08"
"223977","ZP03","4","2015-04"
"224203","ZP01","3","2015-05"
"224203","ZP02","31","2015-01"
"224519","ZP02","2","2015-05"
"224883","ZP03","6","2015-04"
"225795","ZP02","17","2015-08"
"228826","ZP02","4","2015-07"
"229322","ZP02","4","2015-06"
"230253","ZP02","43","2015-08"
"230253","ZP03","26","2015-08"
"230272","ZP02","4","2015-03"
"230272","ZP03","9","2015-08"
"230757","ZP01","1","2015-01"
"235195","ZP02","11","2015-08"
"235901","ZP03","2","2015-08"
"237562","ZP02","3","2015-01"
"239729","ZP01","12","2015-01"
"239729","ZP02","60","2015-08"
"239729","ZP03","39","2015-08"
"240524","ZP02","12","2015-01"
"240524","ZP03","12","2015-08"
"240946","ZP02","2","2015-07"
"242042","ZP01","2","2015-05"
"242042","ZP03","6","2015-03"
"242159","ZP03","2","2015-08"
"243802","ZP02","31","2015-08"
"244312","ZP01","3","2015-08"
"244312","ZP02","6","2015-05"
"244312","ZP03","12","2015-08"
"244912","ZP01","9","2015-05"
"245857","ZP02","46","2015-08"
"245857","ZP03","24","2015-04"
"246017","ZP01","1","2015-08"
"246017","ZP02","20","2015-03"
"246017","ZP03","23","2015-08"
"246310","ZP02","6","2015-08"
"246605","ZP02","10","2015-04"
"248740","ZP02","11","2015-08"
"249517","ZP02","2","2015-04"
"249586","ZP02","2","2015-08"
"249604","ZP02","1","2015-07"
"249709","ZP02","11","2015-04"
"250446","ZP03","2","2015-08"
"250932","ZP03","5","2015-04"
"251240","ZP02","5","2015-05"
"251240","ZP03","1","2015-06"
"251464","ZP02","5","2015-04"
"252417","ZP02","70","2015-08"
"252417","ZP03","119","2015-08"
"252510","ZP02","8","2015-08"
"252670","ZP02","2","2015-08"
"254305","ZP02","6","2015-07"
"257398","ZP03","29","2015-08"
"257578","ZP02","15","2015-08"
"259347","ZP02","1","2015-05"
"261042","ZP01","1","2015-07"
"261042","ZP02","5","2015-08"
"263210","ZP03","6","2015-06"
"263636","ZP02","1","2015-07"
"264216","ZP03","20","2015-03"
"264502","ZP02","68","2015-08"
"265390","ZP01","5","2015-08"
"265390","ZP02","20","2015-08"
"265390","ZP03","3","2015-08"
"265941","ZP02","39","2015-08"
"266599","ZP03","1","2015-03"
"267373","ZP02","32","2015-08"
"267773","ZP02","2","2015-08"
"267773","ZP03","299","2015-08"
"267925","ZP01","7","2015-08"
"267925","ZP02","58","2015-08"
"267925","ZP03","9","2015-08"
"268592","ZP02","8","2015-08"
"268592","ZP03","4","2015-08"
"270219","ZP03","22","2015-08"
"270255","ZP02","92","2015-08"
"270255","ZP03","42","2015-08"
"270858","ZP02","42","2015-08"
"271907","ZP02","55","2015-08"
"271907","ZP03","10","2015-06"
"273040","ZP02","1","2015-01"
"274676","ZP01","1","2015-08"
"274676","ZP02","16","2015-08"
"274685","ZP01","13","2015-08"
"274685","ZP03","27","2015-08"
"275335","ZP02","21","2015-08"
"275335","ZP03","22","2015-05"
"277428","ZP02","32","2015-08"
"277428","ZP03","10","2015-06"
"277672","ZP02","7","2015-06"
"278260","ZP02","12","2015-08"
"278725","ZP02","69","2015-07"
"279598","ZP01","1","2015-05"
"279598","ZP03","10","2015-08"
"280498","ZP03","6","2015-08"
"283064","ZP02","123","2015-08"
"283064","ZP03","88","2015-08"
"283712","ZP02","89","2015-07"
"285362","ZP02","19","2015-08"
"285362","ZP03","5","2015-06"
"287242","ZP02","4","2015-07"
"287242","ZP03","4","2015-05"
"287864","ZP01","25","2015-08"
"287864","ZP02","19","2015-05"
"287864","ZP03","24","2015-08"
"288105","ZP02","37","2015-08"
"288197","ZP03","5","2015-08"
"289767","ZP02","3","2015-06"
"289767","ZP03","14","2015-08"
"290135","ZP02","27","2015-08"
"292174","ZP03","19","2015-08"
"294782","ZP02","185","2015-08"
"295026","ZP01","21","2015-08"
"295026","ZP03","23","2015-08"
"295512","ZP03","33","2015-08"
"295751","ZP02","15","2015-08"
"295751","ZP03","18","2015-08"
"296995","ZP03","8","2015-07"
"297372","ZP02","51","2015-08"
"297372","ZP03","58","2015-07"
"297735","ZP02","12","2015-08"
"302024","ZP02","1","2015-02"
"302364","ZP03","13","2015-08"
"303141","ZP02","2","2015-08"
"303529","ZP02","30","2015-08"
"303529","ZP03","27","2015-08"
"303617","ZP02","4","2015-04"
"303617","ZP03","14","2015-08"
"304546","ZP02","4","2015-07"
"304622","ZP02","21","2015-06"
"308737","ZP02","2","2015-08"
"308830","ZP02","30","2015-08"
"311216","ZP02","49","2015-08"
"312622","ZP01","1","2015-01"
"315575","ZP01","1","2015-05"
"315575","ZP02","38","2015-08"
"315575","ZP03","10","2015-08"
"316082","ZP02","20","2015-08"
"317690","ZP01","46","2015-08"
"317690","ZP02","139","2015-08"
"317690","ZP03","102","2015-08"
"317877","ZP03","5","2015-07"
"318522","ZP02","1","2015-05"
"318557","ZP01","3","2015-07"
"318557","ZP02","4","2015-08"
"318557","ZP03","3","2015-06"
"319531","ZP02","51","2015-08"
"319828","ZP02","82","2015-08"
"319828","ZP03","31","2015-07"
"320987","ZP02","1","2015-06"
"323814","ZP02","2","2015-08"
"324263","ZP03","3","2015-03"
"324885","ZP03","3","2015-04"
"327087","ZP02","19","2015-08"
"327485","ZP02","27","2015-08"
"330517","ZP02","22","2015-07"
"330741","ZP02","1","2015-01"
"331581","ZP03","10","2015-08"
"332719","ZP01","2","2015-02"
"333049","ZP02","11","2015-08"
"334842","ZP01","5","2015-03"
"334842","ZP03","1","2015-03"
"335854","ZP02","6","2015-06"
"335854","ZP03","9","2015-08"
"338945","ZP03","1","2015-08"
"339802","ZP02","123","2015-08"
"339802","ZP03","112","2015-08"
"343171","ZP03","4","2015-06"
"344925","ZP03","14","2015-04"
"345169","ZP02","8","2015-07"
"345997","ZP03","1","2015-04"
"348809","ZP03","3","2015-04"
"349235","ZP02","5","2015-08"
"349235","ZP03","6","2015-07"
"350027","ZP02","1","2015-06"
"353387","ZP02","4","2015-02"
"353387","ZP03","6","2015-05"
"353582","ZP01","19","2015-08"
"353582","ZP02","28","2015-08"
"353582","ZP03","27","2015-08"
"355189","ZP02","19","2015-06"
"357149","ZP02","7","2015-04"
"357472","ZP02","11","2015-08"
"360408","ZP01","7","2015-08"
"360408","ZP02","58","2015-08"
"360408","ZP03","38","2015-08"
"360720","ZP03","14","2015-08"
"361267","ZP02","10","2015-08"
"361683","ZP01","1","2015-02"
"361683","ZP02","1","2015-02"
"362113","ZP01","9","2015-07"
"362113","ZP03","6","2015-08"
"363749","ZP02","4","2015-08"
"363830","ZP02","25","2015-08"
"363830","ZP03","14","2015-05"
"363860","ZP03","20","2015-06"
"364106","ZP02","7","2015-08"
"364333","ZP01","2","2015-01"
"364333","ZP02","5","2015-05"
"364585","ZP02","40","2015-08"
"364585","ZP03","23","2015-08"
"364994","ZP03","3","2015-05"
"365851","ZP02","32","2015-08"
"366066","ZP02","5","2015-08"
"366861","ZP02","2","2015-06"
"366927","ZP01","1","2015-06"
"366927","ZP02","20","2015-08"
"366927","ZP03","9","2015-08"
"367564","ZP02","10","2015-08"
"367564","ZP03","6","2015-08"
"368711","ZP02","12","2015-01"
"369729","ZP02","10","2015-03"
"369729","ZP03","7","2015-03"
"370305","ZP02","18","2015-08"
"370390","ZP02","38","2015-02"
"370390","ZP03","15","2015-04"
"371196","ZP02","5","2015-08"
"371306","ZP02","12","2015-08"
"372178","ZP02","4","2015-06"
"374689","ZP01","6","2015-06"
"374689","ZP02","37","2015-08"
"374689","ZP03","25","2015-08"
"375534","ZP01","30","2015-08"
"375534","ZP02","86","2015-08"
"375534","ZP03","12","2015-06"
"377597","ZP02","5","2015-05"
"377597","ZP03","2","2015-07"
"377824","ZP01","22","2015-08"
"377824","ZP02","94","2015-08"
"377824","ZP03","61","2015-08"
"378050","ZP02","22","2015-08"
"378122","ZP02","18","2015-08"
"378596","ZP03","3","2015-08"
"380151","ZP02","3","2015-08"
"380291","ZP02","2","2015-07"
"380676","ZP02","3","2015-07"
"383200","ZP02","5","2015-06"
"383943","ZP02","1","2015-08"
"387281","ZP02","42","2015-08"
"387451","ZP02","43","2015-08"
"387451","ZP03","17","2015-08"
"388387","ZP03","10","2015-08"
"391336","ZP02","85","2015-08"
"392536","ZP02","16","2015-06"
"392783","ZP02","30","2015-08"
"394070","ZP02","26","2015-08"
"395079","ZP02","18","2015-08"
"395557","ZP02","38","2015-08"
"399796","ZP02","12","2015-07"
"400448","ZP01","18","2015-08"
"400448","ZP02","148","2015-08"
"400448","ZP03","26","2015-08"
"401064","ZP02","10","2015-04"
"402887","ZP01","11","2015-08"
"402887","ZP02","17","2015-08"
"402887","ZP03","7","2015-08"
"403775","ZP02","4","2015-02"
"403932","ZP02","18","2015-08"
