"EID","BTEID","IFHOME","BTBL","BTYEAR","BTENDYEAR"
"501327","323997","1","0.4","2012",""
"502201","662615","0","0.55","2007","2012"
"502201","457079","1","0.5","2010",""
"502452","726909","0","0.01","2015",""
"502452","721278","0","0.004","2013",""
"502452","714479","0","0.479","2012","2015"
"502452","713951","0","0.332","2012",""
"502452","690040","0","0.003","2012",""
"502452","649637","0","0.499","2012","2015"
"502452","624716","0","0.979","2012",""
"502464","653548","1","0.99","2015",""
"502464","70814","1","0.99","2014",""
"504706","643521","1","0.144","2001",""
"505187","722529","1","0.333","2014",""
"505187","719361","1","0.99","2005","2007"
"505367","366899","1","0.32","2002",""
"506121","675873","1","0.72","2008",""
"506121","672417","1","0.333","2009","2010"
"506121","646568","1","0.32","2013",""
"506121","644026","1","0.1","2009",""
"508409","665419","0","0.65","2014",""
"508409","415494","1","0.25","2014",""
"508850","249356","1","0.25","2013",""
"508955","13962","1","0.071","2014",""
"512185","728694","1","0.2","2015",""
"512650","686095","1","0.5","2014",""
"513113","638936","0","0.056","2010",""
"513113","623430","0","0.51","2012",""
"514747","512332","1","1","2001",""
"515442","707812","1","1","2008",""
"515442","643437","1","0.1","2013",""
"515893","64477","1","0.5","2014",""
"516249","653990","1","0.016","2013",""
"516249","522382","1","0.167","2014",""
"516572","89373","1","0.2","2009",""
"517297","393301","1","0.5","2014",""
"517596","738534","1","0.4","2006","2008"
"517596","709954","1","0.1","2006",""
"517596","690627","0","1","2011",""
"517596","674119","1","1","2008","2010"
"517596","625889","1","0.13","2006","2014"
"517812","714802","0","0.107","1998",""
"517812","712275","0","1","2013",""
"517812","705183","0","0.261","2012",""
"517812","704501","1","0.069","2012",""
"517812","687941","0","0.116","2011",""
"517812","522555","1","0.071","2014",""
"517812","399572","1","0.2","2014",""
"517812","47613","1","0.49","2012",""
"517812","44220","1","0.143","1981",""
"518248","690902","1","0.1","2010",""
"518813","723328","0","0.5","2015",""
"518813","645886","0","0.51","2014",""
"519125","724615","1","0.021","2013",""
"520770","719258","0","0.167","2013",""
"520770","712014","0","0.49","2014",""
"520770","711923","0","1","2014",""
"520770","699912","0","0.5","2014",""
"520770","154613","1","0.545","2013",""
"521666","677940","1","0.2","2015",""
"522611","21717","1","0.333","2010",""
"523270","697407","0","1","2014",""
"523270","657554","0","1","2014",""
"525087","737309","0","0.018","2014",""
"525087","726118","0","0.033","2013",""
"525087","705666","0","0.034","2013",""
"525087","653192","0","0.053","2013",""
"525087","650447","0","0.015","2012",""
"525087","639031","1","0.19","2014",""
"525087","635774","0","0.5","2014",""
"525087","298796","1","0.4","2014",""
"525087","258455","1","0.4","2014",""
"525113","372841","1","0.5","2015",""
"525542","694818","0","1","2011",""
"525570","718886","0","1","2015",""
"525570","671163","0","1","2013",""
"525570","669864","0","1","2015",""
"525570","638228","1","0.7","2015",""
"525570","629734","1","0.1","2005","2014"
"525850","375702","1","0.49","2015",""
"526015","725352","0","0.51","2006","2011"
"526015","687461","0","0.3","2007","2010"
"526015","215131","1","0.1","2012",""
"759","736098","0","0.051","2005",""
"1318","660230","1","0.7","2011",""
"1950","707900","0","0.9","2007",""
"1950","632730","0","0.8","2006",""
"1993","397063","1","0.4","2013",""
"6162","105670","1","0.7","2014",""
"7617","260427","1","0.9","2005",""
"7918","712609","1","1","2014",""
"8909","717677","0","1","2013",""
"8909","697376","0","0.7","2003","2008"
"8909","659667","0","0.2","2004","2005"
"8909","647168","0","0.65","2004",""
"8909","632917","0","1","2004",""
"8909","427162","1","0.88","2011",""
"8909","216912","1","0.71","2015",""
"10499","711756","1","0.15","2013",""
"10499","662229","1","0.75","2013",""
"11474","435845","1","0.5","2005",""
"12223","700830","0","0.7","2010","2011"
"12223","673455","0","1","2003",""
"12223","633801","0","0.947","2011",""
"14488","334464","1","0.015","2010",""
"15584","692536","0","1","2014",""
"17184","707115","1","0.69","2014",""
"17184","131865","1","0.69","2015",""
"17252","707622","0","1","2013",""
"17252","634480","0","1","2013",""
"20120","654249","0","0.12","2015",""
"20722","711594","0","0.5","2011",""
"20722","662158","0","0.51","2011",""
"21622","686315","1","1","2002",""
"22182","689030","1","0.8","2015",""
"22852","697262","0","0.15","2004","2007"
"23596","673325","1","1","2009",""
"23596","654094","1","1","2004",""
"23596","85185","1","0.2","2012",""
"24623","47017","1","0.99","2011",""
"25191","337932","1","0.5","2015",""
"26039","652816","1","0.17","2015",""
"26039","645149","0","0.05","2012",""
"26039","625833","0","0.3","2011",""
"26039","369144","1","1","2013",""
"26039","67197","1","0.3","2015",""
"26563","110622","1","1","2013",""
"26952","727919","0","0.02","2007",""
"26952","694529","1","0.022","2003",""
"26952","627192","0","0.048","2007","2014"
"26952","468370","1","0.077","2006",""
"26952","56559","1","0.25","2007",""
"26960","729938","0","0.333","2015",""
"27825","664278","0","0.52","2014",""
"28205","661022","0","1","2015",""
"28205","642489","0","0.196","2013",""
"28458","241391","1","0.1","2009",""
"28536","455681","1","0.2","2005",""
"28782","649176","1","0.8","2014",""
"28782","209870","1","0.8","2011",""
"28782","91240","1","0.8","2013",""
"28782","86492","1","0.8","2014",""
"28782","75419","1","0.8","2014",""
"29462","64828","1","0.01","2014",""
"30333","720880","0","1","2011",""
"30333","642499","0","1","2005",""
"31646","670484","1","1","2009","2014"
"33659","670744","1","1","2008","2011"
"34859","733377","1","0.3","2003","2006"
"34859","694809","0","0.2","2004","2007"
"34859","433609","1","0.6","2004",""
"35085","708615","1","0.27","2004",""
"36172","676682","1","0.017","2012",""
"37386","352762","1","1","2013",""
"37386","112573","1","1","2013",""
"38611","652520","0","1","2014",""
"39788","698014","0","0.264","2012",""
"40168","705149","0","1","2014",""
"41971","640631","0","0.26","2012",""
"43128","658060","1","1","2015",""
"43128","142110","1","1","2014",""
"44218","685322","0","0.95","2014",""
"44218","425229","1","0.78","2014",""
"45160","627423","1","0.25","2014",""
"46861","133968","1","0.04","2003",""
"47388","711041","1","1","2002","2010"
"47388","700693","1","0.8","2001",""
"47634","691810","0","0.7","2014","2014"
"47634","682364","0","0.5","2007",""
"47634","664415","0","1","2014",""
"47634","649499","0","0.024","2012",""
"47634","630292","0","1","2003",""
"48102","716311","0","1","2013",""
"48102","301472","1","1","2013",""
"48595","35609","1","0.1","2002",""
"48702","739171","1","0.88","2009",""
"49017","729934","0","0.3","2015",""
"49017","719496","1","0.029","2001",""
"49017","704333","1","0.333","2013",""
"49017","666445","1","1","2015",""
"49017","649634","0","0.05","2013",""
"49017","494887","1","0.333","2014",""
"49017","224126","1","1","2015",""
"49017","217893","1","1","2015",""
"49243","706185","1","0.05","2015",""
"49243","667864","1","0.1","2015",""
"49243","666343","1","0.4","2015",""
"49895","666375","1","0","2010",""
"50172","17784","1","0.01","2015",""
"50438","336229","1","0.081","2010",""
"50967","726545","0","0.51","2013",""
"50967","707478","0","0.9","2010",""
"50967","705750","0","0.41","2007",""
"50967","700678","1","0.003","2006",""
"50967","696733","0","0.7","2013",""
"50967","693488","0","0.6","2010",""
"50967","691379","0","1","1994",""
"50967","688944","0","0.55","2001",""
"50967","680424","0","0.6","2014",""
"50967","678037","0","0.55","2010",""
"50967","671595","0","0.5","2014",""
"50967","664312","0","0.51","2011",""
"50967","656086","0","1","2013",""
"50967","649567","0","0.5","2014",""
"50967","648339","1","0.38","1995",""
"50967","646942","0","1","2012",""
"50967","643841","0","0.7","2013",""
"50967","641882","0","1","2013",""
"50967","641165","0","0.4","2013",""
"50967","638926","0","1","2011",""
"50967","637303","0","0.4","2011",""
"50967","626826","0","0.333","2009",""
"50967","482301","1","1","2002",""
"50967","337883","1","1","1980",""
"50967","97073","1","1","2013",""
"50967","71754","1","0.51","2012",""
"51946","711010","1","0.9","2004","2009"
"53464","650365","0","0.8","2013",""
"53779","733131","0","0.25","2014",""
"53779","720792","0","0.3","2014",""
"54260","718598","1","0.5","2007",""
"54260","710147","1","0.98","2006",""
"54260","665387","1","1","2007",""
"54260","640990","1","1","1996",""
"54260","334481","1","1","1982",""
"54260","51521","1","1","1990",""
"55275","669589","1","0.9","2015",""
"56289","655030","1","1","2013","2014"
"56332","700992","0","0.5","2014",""
"58601","669939","1","0.333","2010",""
"60510","661674","0","0.75","2009",""
"60660","708829","1","0.009","2009",""
"61021","719580","0","0.5","2010",""
"61021","710813","0","0.372","2007",""
"61021","709635","0","0.5","2011",""
"61021","708957","1","1","1993",""
"61021","677676","1","1","1981",""
"61021","669991","1","1","2012",""
"61021","663562","0","1","1991",""
"61021","655022","0","0.5","2011",""
"61021","645060","0","0.5","2007",""
"61021","631745","1","0.5","1981",""
"61021","623876","0","0.5","1999",""
"61291","711046","0","0.018","2007",""
"61291","690381","0","0.11","2000",""
"62304","304238","1","1","2012",""
"62782","715473","0","0.8","2014",""
"66536","739596","1","0.7","2009",""
"66536","732292","0","0.8","2015",""
"66536","723757","0","1","2009",""
"66536","721862","1","0.5","2015",""
"66536","674702","0","0.24","2009",""
"66536","669184","0","1","2009",""
"66536","663303","1","1","2015",""
"66536","660715","0","1","2012",""
"66536","660147","0","1","2015",""
"66536","633951","0","0.8","2014",""
"66536","630323","0","1","2015",""
"66536","474092","1","1","1992",""
"66536","429156","1","1","2015",""
"66536","156659","1","1","2007",""
"66536","139777","1","1","2012",""
"68369","214895","1","1","2008",""
"69530","679102","1","1","2014",""
"69530","649800","0","0.5","2015",""
"70007","630836","1","0.33","2011",""
"71843","735098","0","0.5","2015",""
"72053","656105","0","0.3","2014",""
"72273","701715","1","0.583","2008",""
"72273","662981","1","1","2015",""
"72273","644062","0","1","2011",""
"72273","451848","1","1","2013",""
"72273","7206","1","1","2011",""
"75271","730683","1","0.68","1998","2007"
"75271","723211","1","0.2","1995",""
"75271","672302","1","0.763","2002","2008"
"75271","657690","1","0.333","1998","2014"
"76119","662824","1","0.072","2013",""
"76119","652413","0","0.039","2011",""
"76119","640235","1","0.1","2014",""
"76148","91904","1","0.333","2015",""
"78343","429575","1","0.25","2010",""
"78960","722442","0","1","2014",""
"79013","674277","1","0.49","2001",""
"79013","625063","1","0.333","2011",""
"79140","42849","1","1","2014",""
"79584","648549","0","0.55","2014",""
"79785","720978","1","1","2014",""
"79785","675590","0","1","2013",""
"80755","695774","0","0.8","2015",""
"80755","123348","1","0.2","2004",""
"81241","661121","0","0.2","2014",""
"81382","660240","1","0.4","2004",""
"81382","642874","0","1","2011",""
"81382","58548","1","0.1","1995",""
"83384","719984","0","0.2","2014",""
"83545","18514","1","0.245","2002",""
"84333","630826","1","0.125","2014",""
"84885","664202","1","0.1","2007",""
"85543","740313","1","0.65","2011",""
"85543","717562","0","0.895","2005",""
"85543","684457","0","0.83","2006",""
"85543","676103","0","0.65","2010",""
"85543","664378","0","0.6","2007",""
"85543","644188","0","1","2007","2014"
"86250","734845","0","0.51","1989",""
"86250","732183","0","0.313","1993",""
"86250","729813","1","1","2012",""
"86250","726570","0","0.4","1998",""
"86250","722809","0","0.125","2001",""
"86250","716269","0","0.98","1997",""
"86250","714459","0","1","1999",""
"86250","714260","1","0.056","2006",""
"86250","712337","1","0.333","2015",""
"86250","707703","0","0.2","2012",""
"86250","704766","0","0.998","2013",""
"86250","693082","1","1","1983",""
"86250","692939","1","1","1985",""
"86250","688735","1","0.456","2006",""
"86250","667649","0","0.95","2012",""
"86250","666357","0","0.182","2002",""
"86250","664427","0","1","1992",""
"86250","658714","0","0.96","2004",""
"86250","656807","1","1","1988",""
"86250","656060","0","0.078","2014",""
"86250","653495","1","1","2012",""
"86250","652425","1","1","1996",""
"86250","651559","0","0.086","1994",""
"86250","650335","1","0.5","2010","2015"
"86250","645413","0","0.062","1995",""
"86250","642938","1","1","2015",""
"86250","630863","0","0.071","1996",""
"86250","516977","1","0.111","2008",""
"86250","424282","1","1","2012",""
"86250","408462","1","0.675","2005",""
"86250","357393","1","1","2002",""
"86250","345593","1","1","2006",""
"86250","332850","1","0.5","2003",""
"86250","172254","1","1","2005",""
"86250","163955","1","0.5","1995",""
"86250","88130","1","0.941","2010",""
"86250","74518","1","0.727","2010",""
"86250","18207","1","1","2014",""
"88516","712851","0","0.01","2015",""
"88516","666310","0","0.7","2012",""
"88516","663012","0","0.49","2015",""
"88516","658201","0","0.188","2011",""
"88516","650804","0","0.9","2012",""
"88516","650489","1","0.9","2012",""
"91064","713946","1","1","2012",""
"91064","674775","1","1","2012",""
"91185","715634","0","0.2","2014",""
"91185","203007","1","0.333","2015",""
"93340","654908","1","0.2","2002","2013"
"93447","700571","1","0.75","2001",""
"93860","689408","0","0.9","2015",""
"94017","677549","1","0.51","2014",""
"95616","726676","1","0.05","2015",""
"95616","685673","0","0.333","2015",""
"95616","645096","0","0.6","2013",""
"95616","638842","0","0.35","2014",""
"96332","702359","0","0.7","2004",""
"96425","96425","1","1","2006",""
"96621","715522","1","1","2014",""
"96621","690559","1","1","2014",""
"96621","662672","1","1","2014",""
"97204","735819","1","0.909","2013",""
"97729","397136","1","0","1994",""
"98984","405616","1","0.5","2008",""
"99037","721721","1","0.25","2004",""
"101351","664653","0","1","2004",""
"102055","687614","1","1","2014",""
"102261","291584","1","0.04","2014",""
"102457","696540","1","0.495","2012",""
"102457","489143","1","0.48","2013",""
"104918","723357","1","1","2001",""
"104918","653871","0","0.05","2000",""
"107722","724306","1","0.28","2008","2012"
"107722","713213","1","0.351","2002","2012"
"107722","709730","1","0.38","2004","2012"
"107722","676513","1","0.303","2000","2012"
"107722","628502","1","0.167","1998","2012"
"107722","626493","1","0.5","2004","2012"
"107722","349326","1","0.421","1997",""
"107722","108902","1","0.8","2006",""
"108059","673255","0","0.333","2015",""
"108059","651099","0","1","2014",""
"108059","646049","0","1","2011","2012"
"108059","641740","0","0.9","2015",""
"108059","628137","0","0.51","2004",""
"108059","25498","1","0.048","2015",""
"108139","661163","1","0.029","2006",""
"108139","633288","1","0.05","2004",""
"108139","422632","1","0.051","2010",""
"108139","401586","1","0.052","2004",""
"108139","343619","1","0.167","2009",""
"108139","93617","1","0.05","2000",""
"108761","651993","0","0.7","2014",""
"109629","151807","1","0.01","2015",""
"109846","691677","1","0.6","2009","2014"
"112576","396012","1","1","2014",""
"112695","731264","0","1","2010",""
"112695","724149","1","1","2008",""
"112695","709319","0","1","2011",""
"112695","673206","0","1","2010",""
"112890","698490","0","1","2015",""
"112890","647507","0","0.95","2012",""
"113780","664728","1","0.4","2001","2008"
"113780","658734","1","0.227","1995",""
"114386","661417","1","1","2014",""
"114386","525612","1","1","2014",""
"114407","699938","0","1","2011",""
"114407","663916","0","1","2007",""
"114852","739069","0","1","1985",""
"114852","738237","0","0.3","2007",""
"114852","729517","0","0.82","1993",""
"114852","725253","1","1","1983",""
"114852","724575","0","1","1990",""
"114852","719655","0","1","1991","2010"
"114852","708557","0","1","1984",""
"114852","707160","0","0.923","2004",""
"114852","706033","1","1","1991",""
"114852","705255","0","0.54","1981","2010"
"114852","694330","0","0.62","2000","2007"
"114852","691988","0","1","2014",""
"114852","685513","0","0.51","2007","2010"
"114852","664853","0","0.9","2005","2010"
"114852","664217","0","1","1997",""
"114852","663373","0","1","1984","1984"
"114852","659193","0","0.188","1999",""
"114852","655638","1","1","2005",""
"114852","653673","1","0.034","2001",""
"114852","640479","0","0.256","2001",""
"114852","639468","0","0.249","2001",""
"114852","634099","0","0.281","2007",""
"114852","632377","0","1","1990","2008"
"114852","623273","0","1","1985","2007"
"114852","245902","1","1","1988",""
"114852","184070","1","0.5","2008",""
"114852","106484","1","1","1994",""
"114852","61183","1","1","2002",""
"115580","668016","1","0.3","2015",""
"115682","59268","1","1","2014",""
"117556","211703","1","1","2005",""
"117618","729344","1","0.1","1997",""
"118423","254656","1","0.5","2012",""
"120489","692836","0","0.9","2008",""
"120489","667125","0","0.49","2001",""
"120489","635006","0","0.99","2012",""
"120886","676301","1","0.34","2004",""
"121056","725545","1","0.217","2003","2008"
"121831","638080","1","1","2006",""
"121831","634244","1","0.65","2000","2007"
"121831","239574","1","0.51","1993",""
"121831","209281","1","1","2014",""
"122280","699264","0","0.1","2011",""
"124038","631794","0","1","2015",""
"125501","707710","1","0.333","2005","2007"
"125990","628852","0","0.7","2014",""
"127895","662131","0","0.3","2006",""
"128122","676834","0","0.3","2013",""
"128122","661573","0","0.53","2014",""
"128663","665290","1","0.55","2014",""
"128904","721574","1","0.1","2004",""
"128904","684576","0","0.2","2008","2010"
"128904","336399","1","0.1","2010",""
"128932","636844","1","0.7","2010","2013"
"130165","506970","1","0.2","2013",""
"130165","475513","1","0.51","2014",""
"130811","677018","1","0.99","2007","2013"
"130879","738636","0","1","2012","2015"
"130879","705883","0","0.9","2014",""
"130879","692580","0","0.67","2014",""
"130879","675313","0","0.5","2014",""
"130879","657309","0","0.9","2014",""
"130879","630154","0","0.85","2014","2015"
"131648","726798","0","0.717","2004","2010"
"131648","490641","1","0.7","2010",""
"132573","719826","0","0.9","2010",""
"132573","661463","1","0.8","2012",""
"132573","633621","1","0.902","2002",""
"132573","492824","1","0.5","2013",""
"132573","162061","1","0.95","2010",""
"132573","29769","1","0.8","2012",""
"133112","712641","0","0.6","2010",""
"133440","697782","1","0.65","1993",""
"133574","729907","0","1","2015",""
"133574","712067","0","0.76","2012",""
"133574","700735","0","0.75","2014",""
"133574","679248","0","1","2009",""
"134103","703788","1","0.422","1997","2013"
"134203","694738","0","1","2005","2005"
"134203","681141","0","0.1","1999",""
"134203","506832","1","0.038","2008",""
"135490","636033","1","1","1999","2007"
"137210","689725","1","0.2","2006",""
"137210","648527","1","0.467","1997","2008"
"137308","711983","0","0.129","2008",""
"137308","680978","0","0.7","2009",""
"137308","679513","0","0.13","2008",""
"137308","630752","1","0.7","2009",""
"137466","662404","0","0.51","2011",""
"137466","655129","0","1","2012",""
"137466","653600","0","1","2014",""
"137466","639922","0","0.51","2014",""
"139378","724282","1","0.25","2006",""
"139378","662271","1","0.2","2014",""
"139616","636668","0","0.88","2014",""
"140192","117900","1","1","2012",""
"141377","672407","1","0.25","2014",""
"142806","390647","1","0.99","2007",""
"143593","733679","0","0.05","2015",""
"143593","685327","1","0.334","2015",""
"143593","678665","1","0.2","2015",""
"143593","660693","1","0.044","2014",""
"143593","660463","0","0.02","2014",""
"143593","644964","1","0.698","2015",""
"143593","629739","0","0.182","2015",""
"143593","628184","1","0.063","2014",""
"143593","417560","1","0.023","2015",""
"143593","332802","1","1","2015",""
"143758","279850","1","0.071","2014",""
"144056","706939","1","0.95","2004","2009"
"144056","695198","1","1","2002","2013"
"144482","701414","1","1","2015",""
"145798","711755","0","0.25","2014",""
"147307","704471","1","0.41","2004",""
"147523","686946","0","1","1999",""
"149708","725198","1","0.032","2012",""
"149708","709295","0","0.1","2012",""
"149708","683963","0","0.111","2011",""
"149708","646995","1","0.071","2007",""
"149708","635929","0","0","2013",""
"149708","498219","1","0.029","2014",""
"149708","421538","1","0.08","2011",""
"151495","666585","1","0.85","2014",""
"151732","709121","1","0.49","2014",""
"151886","710642","1","0.064","1977",""
"152147","717673","0","0.3","2005",""
"152417","45619","1","1","2012",""
"154965","656973","0","0.5","1995","2003"
"157090","165065","1","0.3","2015",""
"157379","633597","1","0.2","1999","2006"
"157851","652466","0","0.05","2015",""
"157851","647697","0","0.167","2015",""
"157954","379888","1","0.385","2014",""
"158228","411880","1","0.2","2012",""
"158585","460788","1","0.6","2003",""
"158590","669962","1","0.15","2013",""
"160239","713008","1","0.24","2005","2006"
"160239","697681","1","0.3","2004",""
"160239","688740","1","0.25","2006","2008"
"160239","639529","1","0.6","2005","2010"
"160239","637455","1","0.4","2005","2009"
"160239","425079","1","0.34","2003",""
"163335","703869","1","0.99","2007","2009"
"163335","678626","1","0.99","2005","2008"
"163650","668997","1","0.143","2015",""
"163650","668425","0","0.35","2015",""
"163650","668288","0","0.4","2015",""
"163650","637542","0","0.083","2015",""
"164655","705798","0","1","2014",""
"166080","466362","1","0.8","2013",""
"167294","519713","1","1","2013",""
"167984","664762","1","0.331","2006",""
"167984","642432","1","0.857","2009",""
"167984","447879","1","0.5","2008",""
"167984","311587","1","1","2013",""
"168785","699804","1","0.5","2012",""
"168785","697846","1","0.1","2013",""
"168785","350233","1","0.5","2015",""
"168967","706741","0","1","2015",""
"168967","667538","0","0.1","2015",""
"168967","317577","1","0.861","2005",""
"170719","708255","1","1","2002","2011"
"170719","705503","0","0.95","2002","2011"
"170719","679659","1","0.8","2004","2011"
"170719","673636","1","0.51","1999","2007"
"170719","638541","0","1","2000",""
"170719","630732","1","1","2003","2012"
"170719","483946","1","1","2011",""
"170719","124926","1","0.5","2014",""
"171772","735309","1","0.5","2007",""
"174011","672037","0","1","2014",""
"175435","703837","0","0.26","1999","2013"
"175435","695219","1","0.5","2014",""
"175435","659083","0","0.2","2010",""
"175837","637044","0","0.95","2009",""
"176619","653214","1","0.4","2012",""
"177240","733534","0","0.1","1996",""
"177240","716914","0","1","2009",""
"177240","686531","0","1","2009",""
"177240","658527","0","0.01","2001",""
"177240","235011","1","1","2008",""
"178723","670020","1","1","2014",""
"179995","687425","1","0.1","1990",""
"179995","431759","1","0.17","2004",""
"180236","710704","0","0.51","2006",""
"181748","175561","1","0.4","2009",""
"182467","686385","0","0.98","2012","2013"
"182467","641951","0","0.45","2015",""
"182467","248876","1","0.75","2014",""
"183291","706931","1","0.6","2009",""
"184670","694710","0","0.51","2004","2008"
"184670","692761","0","0.51","2004","2006"
"184670","652768","0","0.55","2005",""
"190620","672070","1","0.01","2015",""
"191147","706359","1","0.7","2011",""
"191439","642913","0","1","2008",""
"192048","703418","0","0.014","1997",""
"192048","661134","1","0.4","2000","2006"
"192165","733925","0","0.8","2003","2008"
"192165","710583","0","0.9","1998","2007"
"192165","687468","1","0.939","1987",""
"192165","677445","1","0.5","2004",""
"192165","665791","0","0.3","1998","2006"
"192165","664879","0","0.511","2002","2007"
"192165","659269","1","0.6","2000","2008"
"192165","633905","0","0.8","1998","2007"
"192165","462318","1","0.19","1993",""
"192165","431014","1","0.4","2004",""
"192165","104461","1","1","1990",""
"192165","90140","1","1","2000",""
"192508","699883","1","0.2","2015",""
"192653","657213","0","0.5","2011","2012"
"192653","628200","0","0.1","2011","2012"
"193163","710510","0","1","2010",""
"193659","694065","0","0.3","2015",""
"193659","685003","0","1","2015",""
"193659","681892","1","1","2015",""
"193828","732487","1","0.49","2001",""
"193828","714519","0","0.8","2014",""
"193828","663850","1","0.35","2011",""
"193828","640195","1","0.702","1998",""
"193828","184176","1","1","2015",""
"196522","698317","1","0.034","2014",""
"198130","624818","1","0.226","2014",""
"198304","662861","0","0.5","2014",""
"198304","631218","0","0.536","2010",""
"199286","727836","0","0","2011",""
"199286","683339","0","0.004","2015",""
"199286","681690","0","0","2015",""
"199286","668794","0","0.35","2014",""
"199286","667431","0","0.007","2014",""
"199286","664099","0","0.091","2013",""
"199286","662529","0","0.5","2013",""
"199286","648515","0","0.1","2015",""
"199286","645513","0","0.5","2013",""
"199286","631098","0","0.01","2014",""
"199749","28526","1","0.097","2006",""
"200436","630074","0","0.24","2006","2012"
"200714","679849","0","0.001","2010","2013"
"201231","718599","0","0.375","2012",""
"201231","704206","0","0.196","2001",""
"202347","307220","1","0.28","2007",""
"202553","664537","1","0.01","2014",""
"203032","655385","1","0.2","2010","2012"
"204081","253998","1","0.736","2015",""
"205166","736049","0","1","2005",""
"205166","715230","1","0.5","2003",""
"205166","713863","0","1","2009",""
"205166","691510","0","0.111","2013",""
"205166","682803","1","1","2009",""
"205166","625503","0","0.45","2006",""
"205166","76467","1","0.167","2010",""
"206767","719244","0","1","2015",""
"206767","696435","1","1","2006",""
"206767","693116","0","1","2015",""
"206767","681216","0","0.6","2015",""
"206767","680621","0","0.8","2012",""
"206767","659625","1","1","2013",""
"206767","659489","0","0.65","2014",""
"206767","659186","1","0.353","2015",""
"206767","638936","0","0.706","2010",""
"206767","357237","1","0.7","2012",""
"206767","353836","1","0.8","2008",""
"207075","678672","1","0.2","2010","2014"
"207210","716330","1","0.7","2013",""
"207210","201924","1","0.8","2013",""
"208814","351315","1","1","2011",""
"209863","720959","1","0.183","2005","2007"
"209985","685909","0","0.166","2014",""
"210095","726820","0","0.1","2014",""
"210616","634124","1","1","1998","2007"
"210616","623585","1","0.8","2005","2009"
"210616","75417","1","1","1993",""
"211708","740122","1","1","1996","2006"
"211708","734466","1","0.44","1953","2012"
"211708","717544","1","1","1999","2007"
"212325","671256","1","0.9","1997",""
"212325","630923","1","0.9","2008",""
"214193","710762","1","0.24","2012",""
"214888","693736","1","0.5","2013","2015"
"215218","673829","0","0.005","2005",""
"215254","714053","0","0.333","1997","2003"
"215254","238352","1","0.4","2000",""
"216329","732082","0","0.005","2015",""
"217897","736862","0","0.427","2010",""
"217897","722333","0","0.333","2010",""
"219199","629196","1","0.125","2010",""
"219199","412979","1","0.5","2009",""
"221581","680977","1","0.3","2002",""
"221959","691908","0","0.095","2003",""
"222281","660668","0","0.75","2013",""
"222281","656018","0","0.2","2011",""
"222281","298640","1","1","2013",""
"222281","1146","1","1","2013",""
"222548","740238","0","1","2009",""
"222548","683200","0","0.05","2014",""
"222548","659778","1","0.8","2001","2013"
"222548","164594","1","1","2013",""
"222548","105263","1","0.2","2003",""
"223148","640673","0","0.1","2007","2009"
"223181","708585","1","0.25","2002","2008"
"223905","660560","1","0.5","2015",""
"224466","736000","1","1","2011",""
"224466","708855","1","0","1992",""
"224466","684467","0","0.2","2010",""
"224466","650546","0","1","2011",""
"224466","482874","1","1","2011",""
"224466","209650","1","1","2011",""
"224528","737244","1","1","1998",""
"224528","733166","0","0.333","2002","2008"
"224528","732420","0","0.8","1999","2005"
"224528","711967","1","0.341","1999",""
"224528","705526","0","0.75","1985",""
"224528","685202","1","0.15","2000","2010"
"224528","678999","1","0.25","2002",""
"224528","656878","1","0.01","1999","2012"
"224528","656464","1","0.7","2004","2009"
"224528","654222","1","0.92","1999","2015"
"224528","653255","0","0.104","1994",""
"224528","649301","0","1","1998",""
"224528","647617","0","0.1","1998","2004"
"224528","637968","0","1","1989",""
"224528","637037","0","0.55","1998","2006"
"224528","477014","1","0.6","2001",""
"224644","723621","0","0.01","2008",""
"224644","701135","0","0.05","2011",""
"224644","637208","0","0","2008",""
"224644","368750","1","0.1","2010",""
"225071","151676","1","0.85","2015",""
"225229","670164","0","0.1","2014",""
"225229","627588","0","0.129","2004",""
"225299","693638","0","0.02","2014",""
"225670","677292","1","1","2015",""
"226782","646385","1","0.5","2010",""
"228025","708628","0","1","2006",""
"228503","708637","0","0.017","2014",""
"228503","629022","0","0.95","2015",""
"230158","676185","1","0.143","2002",""
"230860","631888","1","0.25","2004",""
"233771","693819","1","0.5","2007",""
"233771","71760","1","0.1","2001",""
"235572","661893","1","1","1992","2010"
"236877","704511","1","0.751","2007",""
"239755","731853","0","0.9","2013",""
"239755","688361","0","0.9","2014",""
"239755","672005","1","0.3","2014",""
"241383","8317","1","0.254","2012",""
"243177","681389","0","1","2011",""
"243177","633291","0","0.567","2015",""
"244100","703514","0","1","2011","2014"
"244893","668259","1","0.56","2004","2009"
"245075","104126","1","0.003","2010",""
"245153","667399","0","0.54","2011",""
"245153","457261","1","0.597","1993",""
"245153","11581","1","1","2001",""
"245904","694155","1","0.56","2006",""
"245904","307333","1","1","2007",""
"245910","700098","0","0.65","2011",""
"245910","648645","0","1","2007",""
"245910","634517","0","1","2008",""
"245910","629198","1","0.25","2010",""
"245910","629042","0","0.067","1999",""
"246032","696341","1","0.001","2015",""
"246331","720395","1","0.5","2007",""
"246681","728982","0","0.7","2008",""
"246681","725262","1","0.35","2006",""
"246681","711566","0","0.3","2008",""
"246681","685270","0","0.7","2008",""
"246681","659368","1","1","2008",""
"246764","739602","1","0.5","2012",""
"246764","183260","1","1","2011",""
"246919","731461","1","1","1986",""
"246919","727573","0","1","1998",""
