EID,TYPECODE,FBDATE,SXENDDATE,BREAKFAITH_CNT,BREAKFAITH_FIRST_FIRST_TIME,BREAKFAITH_FIRST_END_TIME,BREAKFAITH_END_FIRST_TIME
313644,[ 1642285 98464406],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
102700,[ 1593985  1594008  1594030 96512145 96512129 96512413],['2015-05' '2015-05' '2015-05' '2015-05' '2015-05' '2015-05'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],6,2015-05,2015-05,2018-01
346415,[1187095 1187093 1187091],['2015-02' '2015-02' '2015-02'],['2015-07' '2015-07' '2015-07'],3,2015-02,2015-02,2015-07
332082,[   226435   2231694 104196377],['2014-08' '2015-08' '2015-08'],['2018-01' '2018-01' '2018-01'],3,2014-08,2015-08,2018-01
450878,[1066077],['2015-01'],['2018-01'],1,2015-01,2015-01,2018-01
82240,[   56177   218089 70657797 79286627],['2014-02' '2014-07' '2014-02' '2014-07'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-02,2014-07,2018-01
151873,[ 1774746 62158767],['2015-06' '2015-06'],['2018-01' '2018-01'],2,2015-06,2015-06,2018-01
31043,"[ 1043624  1043628  1043626  1043627  1043338  1043625  1058325  1056140
 65985339 65993761 65983819 66007402]","['2015-01' '2015-01' '2015-01' '2015-01' '2015-01' '2015-01' '2015-03'
 '2015-03' '2015-01' '2015-03' '2015-01' '2015-03']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01']",12,2015-01,2015-03,2018-01
340291,[ 1275487 66029499],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
295240,[ 1270129 66050467],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
395592,[  205510 79643579],['2014-07' '2014-07'],['2018-01' '2018-01'],2,2014-07,2014-07,2018-01
358730,[  562609 85059340],['2014-11' '2014-11'],['2018-01' '2018-01'],2,2014-11,2014-11,2018-01
463179,[215863 207428],['2014-08' '2014-08'],['2015-07' '2015-07'],2,2014-08,2014-08,2015-07
37196,[ 1635035 60255569],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
465229,[  1783166 101820365],['2015-06' '2015-06'],['2018-01' '2018-01'],2,2015-06,2015-06,2018-01
334,[  1868205 101819690],['2015-06' '2015-06'],['2018-01' '2018-01'],2,2015-06,2015-06,2018-01
119119,[   11639  1045488 43523842 65997267],['2013-10' '2015-01' '2013-10' '2015-01'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2013-10,2015-01,2018-01
153936,[ 1403179 98625609],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
334159,[  2240024 104525192],['2015-08' '2015-08'],['2018-01' '2018-01'],2,2015-08,2015-08,2018-01
510294,[  906642 29261952],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
518487,[1363224],['2015-03'],['2015-07'],1,2015-03,2015-03,2015-07
489816,[1956552],['2015-07'],['2018-01'],1,2015-07,2015-07,2018-01
55641,[    4484 62197565],['2013-10' '2013-10'],['2018-01' '2018-01'],2,2013-10,2013-10,2018-01
196957,[  965839 81340359],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
303456,[ 1372388 92542280],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
289123,[  400099 79934911],['2014-08' '2014-08'],['2018-01' '2018-01'],2,2014-08,2014-08,2018-01
254307,[  856140 81335947],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
211301,[  2088024   2088023 103423119],['2015-07' '2015-07' '2015-07'],['2018-01' '2018-01' '2018-01'],3,2015-07,2015-07,2018-01
391525,[1606707],['2015-07'],['2018-01'],1,2015-07,2015-07,2018-01
24935,[1275117 1246464],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
41320,[  210786  2338714 99095377 68745963],['2014-08' '2015-08' '2015-08' '2014-08'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-08,2014-08,2018-01
57705,[1463482],['2015-04'],['2018-01'],1,2015-04,2015-04,2018-01
61800,[1116914],['2015-01'],['2018-01'],1,2015-01,2015-01,2018-01
221541,[ 1420042 99093210],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
158057,[  181502 73373595],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
270693,[  170253    10779 79933257 28949617],['2014-06' '2013-10' '2014-06' '2013-10'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-06,2013-10,2018-01
250217,[  818934   818933 87434468],['2014-12' '2014-12' '2014-12'],['2018-01' '2018-01' '2018-01'],3,2014-12,2014-12,2018-01
522607,[   155577   1644214   2038818  79573079  92425555 103064882],['2014-06' '2015-05' '2015-07' '2014-06' '2015-05' '2015-07'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],6,2014-06,2015-07,2018-01
92527,[1176231],['2015-02'],['2018-01'],1,2015-02,2015-02,2018-01
289136,[1083462],['2015-03'],['2018-01'],1,2015-03,2015-03,2018-01
94577,[  217448 60419989],['2014-07' '2014-07'],['2018-01' '2018-01'],2,2014-07,2014-07,2018-01
29041,[1868957 1868963],['2015-06' '2015-06'],['2018-01' '2018-01'],2,2015-06,2015-06,2018-01
473462,[1357320],['2015-03'],['2018-01'],1,2015-03,2015-03,2018-01
330103,[  641400   571535 88350974 87813233],['2014-11' '2014-10' '2014-11' '2014-10'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-11,2014-10,2018-01
334203,[1490875],['2015-04'],['2018-01'],1,2015-04,2015-04,2018-01
27004,[ 1188348 95165837],['2015-02' '2015-02'],['2018-01' '2018-01'],2,2015-02,2015-02,2018-01
237949,[  707746 88402943],['2014-11' '2014-11'],['2018-01' '2018-01'],2,2014-11,2014-11,2018-01
80254,[  932403 66025253],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
225660,[  171030 38807592],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
442752,[  202929 60616010],['2014-07' '2014-07'],['2018-01' '2018-01'],2,2014-07,2014-07,2018-01
317825,"[   250173    230557    185206   1760143  81702621  80144051 101684534
  79554158]","['2014-08' '2014-07' '2014-06' '2015-06' '2014-07' '2014-06' '2015-06'
 '2014-08']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01']",8,2014-08,2014-08,2018-01
493952,[ 1208571 96520446],['2015-02' '2015-02'],['2018-01' '2018-01'],2,2015-02,2015-02,2018-01
92547,[  252360 79626569],['2014-08' '2014-08'],['2018-01' '2018-01'],2,2014-08,2014-08,2018-01
6525,[ 1270646 66070646],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
432517,[ 1404001 96522541],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
424319,[921889],['2014-12'],['2018-01'],1,2014-12,2014-12,2018-01
141703,[2273424],['2015-08'],['2018-01'],1,2015-08,2015-08,2018-01
289160,[  834399  1046909 66060583 66060621],['2015-01' '2015-01' '2015-01' '2015-01'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2015-01,2015-01,2018-01
420233,[  770360   958475 89127198],['2014-12' '2015-01' '2014-12'],['2018-01' '2018-01' '2018-01'],3,2014-12,2014-12,2018-01
57737,[ 1480814 98627125],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
194955,[  218180   206545 30115355],['2014-08' '2014-08' '2014-08'],['2018-01' '2018-01' '2018-01'],3,2014-08,2014-08,2018-01
246158,[1170283],['2015-02'],['2018-01'],1,2015-02,2015-02,2018-01
377231,[ 1597702  2138403 99270239],['2015-05' '2015-08' '2015-08'],['2018-01' '2018-01' '2018-01'],3,2015-05,2015-08,2018-01
170384,[ 1693920 90532790],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
323988,[172692],['2014-06'],['2018-01'],1,2014-06,2014-06,2018-01
311701,[  598125   507210 88057399 79627542],['2014-10' '2014-09' '2014-10' '2014-09'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-10,2014-09,2018-01
27029,[ 1136470 40880839],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
235930,[1356174],['2015-03'],['2015-07'],1,2015-03,2015-03,2015-07
65950,[  528322 79285467],['2014-09' '2014-09'],['2018-01' '2018-01'],2,2014-09,2014-09,2018-01
20895,[ 1949481 96521644],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
344480,[ 1687799 98626702],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
254369,[  210719   156605 72827013],['2014-08' '2014-06' '2014-08'],['2018-01' '2018-01' '2018-01'],3,2014-08,2014-08,2018-01
213410,[688015],['2014-11'],['2018-01'],1,2014-11,2014-11,2018-01
231844,[182599],['2014-06'],['2018-01'],1,2014-06,2014-06,2018-01
68006,[  338105 80131551],['2014-08' '2014-08'],['2018-01' '2018-01'],2,2014-08,2014-08,2018-01
129447,[  885981 92715367],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
346536,[ 1388136 96520240],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
49578,[  178332  1197454 79325398 93812130],['2014-06' '2015-02' '2014-06' '2015-02'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-06,2015-02,2018-01
426413,[  165473 41360113],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
262577,[241385 242577 241378],['2014-11' '2014-11' '2014-11'],['2018-01' '2018-01' '2018-01'],3,2014-11,2014-11,2018-01
256434,[  813665 79321789],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
174515,[  2177417 102623217],['2015-08' '2015-08'],['2018-01' '2018-01'],2,2015-08,2015-08,2018-01
57782,[243771],['2014-08'],['2018-01'],1,2014-08,2014-08,2018-01
500150,[1390076],['2015-04'],['2018-01'],1,2015-04,2015-04,2018-01
457144,[188514],['2014-06'],['2018-01'],1,2014-06,2014-06,2018-01
205240,[904129],['2014-12'],['2015-07'],1,2014-12,2014-12,2015-07
299449,[201691],['2014-11'],['2018-01'],1,2014-11,2014-11,2018-01
399803,[758197 196676],['2014-11' '2014-06'],['2018-01' '2018-01'],2,2014-11,2014-06,2018-01
201148,[  219416 11330216],['2014-08' '2014-08'],['2018-01' '2018-01'],2,2014-08,2014-08,2018-01
53693,"[  571519   377618   272492   171244   140026  1533021 83569169 87813243
 83513242 81437382 80349229]","['2014-10' '2014-08' '2014-08' '2014-06' '2014-05' '2015-05' '2014-08'
 '2014-10' '2015-05' '2014-08' '2014-06']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01']",11,2014-10,2014-06,2018-01
461247,[   23865 62162422],['2013-10' '2013-10'],['2018-01' '2018-01'],2,2013-10,2013-10,2018-01
10691,[  169066 36270553],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
22981,[    4888 61955383],['2013-10' '2013-10'],['2018-01' '2018-01'],2,2013-10,2013-10,2018-01
197062,[1178495],['2015-02'],['2018-01'],1,2015-02,2015-02,2018-01
330183,[  743312  1615946 96506792 89115871],['2014-11' '2015-05' '2015-05' '2014-11'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-11,2014-11,2018-01
10695,[  143902 34010957],['2014-05' '2014-05'],['2018-01' '2018-01'],2,2014-05,2014-05,2018-01
494024,[230463],['2014-07'],['2018-01'],1,2014-07,2014-07,2018-01
246219,[1202429 1720724],['2015-02' '2015-06'],['2018-01' '2018-01'],2,2015-02,2015-06,2018-01
86476,[1235790],['2015-03'],['2018-01'],1,2015-03,2015-03,2018-01
182734,[  183898 61395978],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
291279,[ 1048998 65983319],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
481746,[   10690 66076356],['2013-10' '2013-10'],['2018-01' '2018-01'],2,2013-10,2013-10,2018-01
121299,[  754517 85058578],['2014-11' '2014-11'],['2018-01' '2018-01'],2,2014-11,2014-11,2018-01
287188,[   11519 66078424],['2013-10' '2013-10'],['2018-01' '2018-01'],2,2013-10,2013-10,2018-01
360915,[  760326 79321776],['2014-11' '2014-11'],['2018-01' '2018-01'],2,2014-11,2014-11,2018-01
428502,[  171199     3908  1093620  1267520 66060450 66076573 66062916],['2014-06' '2013-10' '2015-03' '2015-03' '2015-03' '2013-10' '2015-03'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],7,2014-06,2015-03,2018-01
184788,[ 1046005 41217426],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
260568,[ 1584121 83518196],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
391634,[  210753 73391830],['2014-07' '2014-07'],['2018-01' '2018-01'],2,2014-07,2014-07,2018-01
201178,"[ 1012557  1026392  1145880  1507426  1538125  1507387  1758358  2283504
 24983879 88313939 27975630 73330423 60621706]","['2015-01' '2015-01' '2015-01' '2015-04' '2015-05' '2015-04' '2015-06'
 '2015-08' '2015-04' '2015-01' '2015-04' '2015-08' '2015-06']","['2015-07' '2015-07' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01']",13,2015-01,2015-06,2015-07
465370,[1711487],['2015-06'],['2018-01'],1,2015-06,2015-06,2018-01
106970,[1053132],['2015-03'],['2018-01'],1,2015-03,2015-03,2018-01
356824,[ 2304924 93535354],['2015-08' '2015-08'],['2018-01' '2018-01'],2,2015-08,2015-08,2018-01
367070,[ 1583688 98100754],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
440802,[ 2069225 10095141],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
233957,[911564],['2014-12'],['2018-01'],1,2014-12,2014-12,2018-01
494055,[13428],['2013-10'],['2015-07'],1,2013-10,2013-10,2015-07
283119,[  844464  2203270 96995100 91741839],['2014-12' '2015-08' '2015-08' '2014-12'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-12,2014-12,2018-01
170481,[  184209 38057190],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
195059,[  608097   154276 79166174 85958339],['2014-10' '2014-05' '2014-05' '2014-10'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-10,2014-10,2018-01
127476,[  185102  1751930 88405147 61125889],['2014-06' '2015-06' '2015-06' '2014-06'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-06,2014-06,2018-01
168440,[  650566  1446219 88351717 61499629],['2014-11' '2015-04' '2014-11' '2015-04'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-11,2015-04,2018-01
307705,[174839],['2014-06'],['2015-07'],1,2014-06,2014-06,2015-07
512506,[  616547  1008394 63738185],['2014-11' '2015-01' '2014-11'],['2018-01' '2018-01' '2018-01'],3,2014-11,2014-11,2018-01
444926,[  883361  1494133 96525273 88991967],['2014-12' '2015-04' '2015-04' '2014-12'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-12,2014-12,2018-01
10751,[ 1270862  1271420 66052879 66062576],['2015-03' '2015-03' '2015-03' '2015-03'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2015-03,2015-03,2018-01
360959,[ 1674858 83519883],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
258561,[  151504 75067331],['2014-05' '2014-05'],['2018-01' '2018-01'],2,2014-05,2014-05,2018-01
82434,[ 2103572 20567723],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
401922,[  911577 66017152],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
143878,[  236787   183581    10728  1135644 68742438],['2014-08' '2014-06' '2013-10' '2015-01' '2014-06'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],5,2014-08,2014-06,2018-01
78343,[1511908],['2015-04'],['2018-01'],1,2015-04,2015-04,2018-01
373256,[  817377   246947  1216770  1059322 82168536 91746941 79627430 91706298],"['2014-12' '2014-08' '2015-02' '2015-01' '2014-12' '2015-01' '2014-08'
 '2015-02']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01']",8,2014-12,2015-02,2018-01
16905,[  215855   207392 18431501],['2014-08' '2014-08' '2014-08'],['2018-01' '2018-01' '2018-01'],3,2014-08,2014-08,2018-01
354823,[ 1213301 79617716],['2015-02' '2015-02'],['2018-01' '2018-01'],2,2015-02,2015-02,2018-01
49675,[    19651  60357475 700661466],['2013-10' '2013-10' '2013-10'],['2018-01' '2018-01' '2018-01'],3,2013-10,2013-10,2018-01
55821,[  220290  2308419 32642213 99072433],['2014-08' '2015-08' '2014-08' '2015-08'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-08,2015-08,2018-01
55822,[ 1463384 97965244],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
115213,[ 1190864  2083237 96512535 96512533],['2015-02' '2015-07' '2015-07' '2015-02'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2015-02,2015-02,2018-01
336400,[  426349 33309932],['2014-09' '2014-09'],['2018-01' '2018-01'],2,2014-09,2014-09,2018-01
397841,[ 1069132 29535997],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
473617,[1002496],['2015-03'],['2018-01'],1,2015-03,2015-03,2018-01
100884,[ 1006975 91742761],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
55829,[  2325392 100872236],['2015-08' '2015-08'],['2018-01' '2018-01'],2,2015-08,2015-08,2018-01
248342,[  734008 33831261],['2014-11' '2014-11'],['2018-01' '2018-01'],2,2014-11,2014-11,2018-01
465431,[ 1084841 66054513],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
68121,[  508828 60121790],['2014-09' '2015-01'],['2018-01' '2018-01'],2,2014-09,2015-01,2018-01
178719,[  171343   884828 92406031 80264665],['2014-06' '2015-01' '2015-01' '2014-06'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-06,2014-06,2018-01
88607,[  171413 31478393],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
203297,[  2038825 103064754],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
289314,[   17781 66053369],['2013-10' '2013-10'],['2018-01' '2018-01'],2,2013-10,2013-10,2018-01
221731,[  607778   607750 19462401 42402484],['2014-10' '2014-10' '2014-10' '2014-10'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-10,2014-10,2018-01
66085,[  812594 91060948],['2014-12' '2014-12'],['2018-01' '2018-01'],2,2014-12,2014-12,2018-01
61990,[ 1184518 81120652],['2015-02' '2015-02'],['2018-01' '2018-01'],2,2015-02,2015-02,2018-01
258599,[   61709 27797332],['2014-01' '2014-01'],['2018-01' '2018-01'],2,2014-01,2014-01,2018-01
139816,[ 1824232  1823835 27878337 28100682],['2015-06' '2015-06' '2015-06' '2015-06'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2015-06,2015-06,2018-01
170538,[  1968278 103622391],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
31275,[239604],['2014-08'],['2018-01'],1,2014-08,2014-08,2018-01
451115,[  583873 85061523],['2014-10' '2014-10'],['2018-01' '2018-01'],2,2014-10,2014-10,2018-01
248364,[  617687 79640997],['2014-10' '2014-10'],['2018-01' '2018-01'],2,2014-10,2014-10,2018-01
254510,[  890803    60793  1531260   903003 35877404 44062967 79307227 68740299],"['2014-12' '2014-01' '2015-05' '2014-12' '2014-12' '2014-12' '2015-05'
 '2014-01']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01']",8,2014-12,2014-01,2018-01
98864,[1636359],['2015-05'],['2018-01'],1,2015-05,2015-05,2018-01
375345,[218222 206564],['2014-08' '2014-08'],['2018-01' '2018-01'],2,2014-08,2014-08,2018-01
231986,[  187028  1064909 80689506 83515361],['2014-06' '2015-01' '2014-06' '2015-01'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-06,2015-01,2018-01
342578,[  172854 18390353],['2014-06' '2014-06'],['2018-01' '2018-01'],2,2014-06,2014-06,2018-01
371252,[2011188],['2015-07'],['2018-01'],1,2015-07,2015-07,2018-01
92725,[  230322   210342 79553853 81378666],['2014-08' '2014-07' '2014-08' '2014-07'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-08,2014-07,2018-01
29240,[ 1041667 92560033],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
133689,[2084069],['2015-07'],['2018-01'],1,2015-07,2015-07,2018-01
234041,[  179895   181415   152736  1485683 73387165 81390782 60049196],['2014-06' '2014-06' '2014-06' '2015-04' '2014-06' '2015-04' '2014-06'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],7,2014-06,2014-06,2018-01
262713,[  2014185 102688015],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
2618,"[   110582   1584461   1800238   1801313   1800459   1800630   1800273
   1800184   1801288   1800448   1800264   1801272   9675115  28179071
  19044608  19134476  19043522  19044120 700661473  22188246 700661471
 700661472  22690985  22186626  21246451  21246114  20843920]","['2014-03' '2015-05' '2015-06' '2015-06' '2015-06' '2015-06' '2015-06'
 '2015-06' '2015-06' '2015-06' '2015-06' '2015-06' '2014-03' '2015-05'
 '2015-06' '2015-06' '2015-06' '2015-06' '2015-06' '2015-06' '2015-06'
 '2015-06' '2015-06' '2015-06' '2015-06' '2015-06' '2015-06']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01']",27,2014-03,2015-06,2018-01
469563,[ 1727945 96518548],['2015-06' '2015-06'],['2018-01' '2018-01'],2,2015-06,2015-06,2018-01
43586,[176489],['2014-06'],['2018-01'],1,2014-06,2014-06,2018-01
135747,[   745878   2206454  89126781 102353403],['2014-11' '2015-08' '2014-11' '2015-08'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-11,2015-08,2018-01
186946,[ 1037152 66015208],['2015-01' '2015-01'],['2018-01' '2018-01'],2,2015-01,2015-01,2018-01
162374,[  911903   911795 65992042 66005257],['2014-12' '2014-12' '2014-12' '2014-12'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-12,2014-12,2018-01
180806,[ 1938558 36930109],['2015-07' '2015-07'],['2018-01' '2018-01'],2,2015-07,2015-07,2018-01
100938,[218194],['2014-08'],['2018-01'],1,2014-08,2014-08,2018-01
205387,[   62034    63137   132857   132963 68730518 75014219 75076511 60633099],"['2014-01' '2014-01' '2014-04' '2014-04' '2014-01' '2014-04' '2014-04'
 '2014-01']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01']",8,2014-01,2014-01,2018-01
43594,[ 1364303 80300489],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
414283,[ 1448158  1778641 97109701 61037801],['2015-04' '2015-06' '2015-04' '2015-06'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2015-04,2015-06,2018-01
88654,[ 1723102 19250625],['2015-06' '2015-06'],['2018-01' '2018-01'],2,2015-06,2015-06,2018-01
356946,[ 1274980 66039715],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
375385,[ 1274749 66047802],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
389722,[ 1261836 11898910],['2015-03' '2015-03'],['2018-01' '2018-01'],2,2015-03,2015-03,2018-01
449114,[1421832],['2015-04'],['2015-07'],1,2015-04,2015-04,2015-07
152159,"[  223063   201817   214531   201877   201826   214537   201881   201829
   201828   201821   217193 38301558 60665872 60742290 60755829 60665694
 60666303 60666125 60666014]","['2014-07' '2014-07' '2014-07' '2014-07' '2014-07' '2014-07' '2014-07'
 '2014-07' '2014-07' '2014-07' '2015-08' '2014-07' '2014-07' '2014-07'
 '2014-07' '2014-07' '2014-07' '2014-07' '2014-07']","['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'
 '2018-01' '2018-01' '2018-01' '2018-01' '2018-01']",19,2014-07,2014-07,2018-01
80480,[ 2165558  2165568 66075346 66075068],['2015-08' '2015-08' '2015-08' '2015-08'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2015-08,2015-08,2018-01
213603,[  893080   287522 83574460],['2014-12' '2014-10' '2014-10'],['2018-01' '2018-01' '2018-01'],3,2014-12,2014-10,2018-01
277091,[  930540   928966  1364387 66063948 80300933 41412097],['2014-12' '2014-12' '2015-03' '2014-12' '2015-03' '2014-12'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],6,2014-12,2014-12,2018-01
481893,[615617 229864],['2014-10' '2014-07'],['2018-01' '2018-01'],2,2014-10,2014-07,2018-01
6758,[ 1871016  1871020 90117394],['2015-06' '2015-06' '2015-06'],['2018-01' '2018-01' '2018-01'],3,2015-06,2015-06,2018-01
225893,[492438],['2014-11'],['2018-01'],1,2014-11,2014-11,2018-01
266856,[256173],['2015-03'],['2015-07'],1,2015-03,2015-03,2015-07
356969,[  1576720 100469552],['2015-05' '2015-05'],['2018-01' '2018-01'],2,2015-05,2015-05,2018-01
60010,[  203971 73339052],['2014-07' '2014-07'],['2018-01' '2018-01'],2,2014-07,2014-07,2018-01
309867,[   911508    216706 700661486  66018411   6576656],['2014-12' '2014-08' '2014-08' '2014-12' '2014-08'],['2018-01' '2018-01' '2018-01' '2018-01' '2018-01'],5,2014-12,2014-08,2018-01
467566,[ 1385843 96526470],['2015-04' '2015-04'],['2018-01' '2018-01'],2,2015-04,2015-04,2018-01
90737,[571531],['2014-10'],['2018-01'],1,2014-10,2014-10,2018-01
131698,[  542528  1357013 98062156 79523219],['2014-10' '2015-03' '2015-03' '2014-10'],['2018-01' '2018-01' '2018-01' '2018-01'],4,2014-10,2014-10,2018-01
297586,[  492610 83521547],['2014-09' '2014-09'],['2018-01' '2018-01'],2,2014-09,2014-09,2018-01
465525,[1644261],['2015-05'],['2018-01'],1,2015-05,2015-05,2018-01
242731,[  2335003 105604989],['2015-08' '2015-08'],['2018-01' '2018-01'],2,2015-08,2015-08,2018-01
141947,[  210825 79935023],['2014-07' '2014-07'],['2018-01' '2018-01'],2,2014-07,2014-07,2018-01
